year,month,petrol_growth,electricity_growth,distance_km,ice_eff_l_per_100km,petrol_price_per_l,electricity_price_per_kwh,predicted_savings,rule_ev_cost,rule_ice_cost
2025,1,0.02,0.01,50,5.5,2.0,0.3,-57.1,2.25,5.5
2025,1,0.02,0.01,50,6.5,2.0,0.3,-52.21,2.25,6.5
2025,1,0.02,0.01,50,7.5,2.0,0.3,-38.52,2.25,7.5
2025,1,0.02,0.01,50,8.5,2.0,0.3,-38.51,2.25,8.5
2025,1,0.02,0.01,50,10.0,2.0,0.3,-38.51,2.25,10.0
2025,1,0.02,0.01,100,5.5,2.0,0.3,-76.31,4.5,11.0
2025,1,0.02,0.01,100,6.5,2.0,0.3,-71.42,4.5,13.0
2025,1,0.02,0.01,100,7.5,2.0,0.3,-57.73,4.5,15.0
2025,1,0.02,0.01,100,8.5,2.0,0.3,-57.71,4.5,17.0
2025,1,0.02,0.01,100,10.0,2.0,0.3,-57.71,4.5,20.0
2025,1,0.02,0.01,150,5.5,2.0,0.3,-22.96,6.75,16.5
2025,1,0.02,0.01,150,6.5,2.0,0.3,-11.21,6.75,19.5
2025,1,0.02,0.01,150,7.5,2.0,0.3,2.48,6.75,22.5
2025,1,0.02,0.01,150,8.5,2.0,0.3,2.5,6.75,25.5
2025,1,0.02,0.01,150,10.0,2.0,0.3,2.5,6.75,30.0
2025,1,0.02,0.01,200,5.5,2.0,0.3,-21.63,9.0,22.0
2025,1,0.02,0.01,200,6.5,2.0,0.3,-9.87,9.0,26.0
2025,1,0.02,0.01,200,7.5,2.0,0.3,3.82,9.0,30.0
2025,1,0.02,0.01,200,8.5,2.0,0.3,3.83,9.0,34.0
2025,1,0.02,0.01,200,10.0,2.0,0.3,3.83,9.0,40.0
2025,1,0.02,0.01,250,5.5,2.0,0.3,-21.63,11.25,27.5
2025,1,0.02,0.01,250,6.5,2.0,0.3,-9.87,11.25,32.5
2025,1,0.02,0.01,250,7.5,2.0,0.3,3.82,11.25,37.5
2025,1,0.02,0.01,250,8.5,2.0,0.3,3.83,11.25,42.5
2025,1,0.02,0.01,250,10.0,2.0,0.3,3.83,11.25,50.0
2025,1,0.02,0.01,300,5.5,2.0,0.3,0.18,13.5,33.0
2025,1,0.02,0.01,300,6.5,2.0,0.3,11.93,13.5,39.0
2025,1,0.02,0.01,300,7.5,2.0,0.3,31.78,13.5,45.0
2025,1,0.02,0.01,300,8.5,2.0,0.3,31.8,13.5,51.0
2025,1,0.02,0.01,300,10.0,2.0,0.3,31.8,13.5,60.0
2025,1,0.02,0.01,400,5.5,2.0,0.3,5.61,18.0,44.0
2025,1,0.02,0.01,400,6.5,2.0,0.3,17.36,18.0,52.0
2025,1,0.02,0.01,400,7.5,2.0,0.3,37.21,18.0,60.0
2025,1,0.02,0.01,400,8.5,2.0,0.3,37.23,18.0,68.0
2025,1,0.02,0.01,400,10.0,2.0,0.3,37.23,18.0,80.0
2025,1,0.02,0.01,500,5.5,2.0,0.3,351.84,22.5,55.0
2025,1,0.02,0.01,500,6.5,2.0,0.3,363.59,22.5,65.0
2025,1,0.02,0.01,500,7.5,2.0,0.3,395.52,22.5,75.0
2025,1,0.02,0.01,500,8.5,2.0,0.3,399.18,22.5,85.0
2025,1,0.02,0.01,500,10.0,2.0,0.3,399.18,22.5,100.0
2025,1,0.02,0.01,750,5.5,2.0,0.3,817.23,33.75,82.5
2025,1,0.02,0.01,750,6.5,2.0,0.3,1148.23,33.75,97.5
2025,1,0.02,0.01,750,7.5,2.0,0.3,1321.1,33.75,112.5
2025,1,0.02,0.01,750,8.5,2.0,0.3,1324.76,33.75,127.5
2025,1,0.02,0.01,750,10.0,2.0,0.3,1324.76,33.75,150.0
2025,1,0.02,0.01,1000,5.5,2.0,0.3,1163.22,45.0,110.0
2025,1,0.02,0.01,1000,6.5,2.0,0.3,1494.22,45.0,130.0
2025,1,0.02,0.01,1000,7.5,2.0,0.3,1667.09,45.0,150.0
2025,1,0.02,0.01,1000,8.5,2.0,0.3,1670.75,45.0,170.0
