make,model,variant,year,l_per_100km,fetch_source,fetch_query,gvg_search_hint,gvg_search_url,last_generated
BYD,DOLPHIN,Dynamic,,,dynamic,BYD DOLPHIN Dynamic,"Search GVG for ""BYD DOLPHIN Dynamic""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=BYD+DOLPHIN+Dynamic,2025-08-20T06:03:50Z
Lexus,UX 300e,,,,dynamic,Lexus UX 300e,"Search GVG for ""Lexus UX 300e""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=Lexus+UX+300e,2025-08-20T06:03:50Z
MG,MG4,64kWh EV RWD ,,,dynamic,MG MG4 64kWh EV RWD,"Search GVG for ""MG MG4 64kWh EV RWD""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=MG+MG4+64kWh+EV+RWD,2025-08-20T06:03:50Z
Tesla,Model 3,RWD H6LRB,,,dynamic,Tesla Model 3 RWD H6LRB,"Search GVG for ""Tesla Model 3 RWD H6LRB""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=Tesla+Model+3+RWD+H6LRB,2025-08-20T06:03:50Z
BYD,SEAL,Dynamic,,,dynamic,BYD SEAL Dynamic,"Search GVG for ""BYD SEAL Dynamic""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=BYD+SEAL+Dynamic,2025-08-20T06:03:50Z
MG,MG4,64kWh EV RWD LUX ,,,dynamic,MG MG4 64kWh EV RWD LUX,"Search GVG for ""MG MG4 64kWh EV RWD LUX""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=MG+MG4+64kWh+EV+RWD+LUX,2025-08-20T06:03:50Z
Tesla,Model 3,Long Range H5LDB,,,dynamic,Tesla Model 3 Long Range H5LDB,"Search GVG for ""Tesla Model 3 Long Range H5LDB""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=Tesla+Model+3+Long+Range+H5LDB,2025-08-20T06:03:50Z
MG,MG4,77kWh EV RWD,,,dynamic,MG MG4 77kWh EV RWD,"Search GVG for ""MG MG4 77kWh EV RWD""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=MG+MG4+77kWh+EV+RWD,2025-08-20T06:03:50Z
BYD,DOLPHIN,PERFORMANCE,,,dynamic,BYD DOLPHIN PERFORMANCE,"Search GVG for ""BYD DOLPHIN PERFORMANCE""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=BYD+DOLPHIN+PERFORMANCE,2025-08-20T06:03:50Z
Fiat,500e,FWD 87 kW 42 kWh,,,dynamic,Fiat 500e FWD 87 kW 42 kWh,"Search GVG for ""Fiat 500e FWD 87 kW 42 kWh""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=Fiat+500e+FWD+87+kW+42+kWh,2025-08-20T06:03:50Z
BYD,SEAL,PREMIUM,,,dynamic,BYD SEAL PREMIUM,"Search GVG for ""BYD SEAL PREMIUM""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=BYD+SEAL+PREMIUM,2025-08-20T06:03:50Z
Lexus,RZ 450e,,,,dynamic,Lexus RZ 450e,"Search GVG for ""Lexus RZ 450e""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=Lexus+RZ+450e,2025-08-20T06:03:50Z
MG,MG4,64kWh EV 4WD,,,dynamic,MG MG4 64kWh EV 4WD,"Search GVG for ""MG MG4 64kWh EV 4WD""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=MG+MG4+64kWh+EV+4WD,2025-08-20T06:03:50Z
Peugeot,2008,e2008 GT,,,dynamic,Peugeot 2008 e2008 GT,"Search GVG for ""Peugeot 2008 e2008 GT""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=Peugeot+2008+e2008+GT,2025-08-20T06:03:50Z
Mercedes-Benz,EQE,300,,,dynamic,Mercedes-Benz EQE 300,"Search GVG for ""Mercedes-Benz EQE 300""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=Mercedes-Benz+EQE+300,2025-08-20T06:03:50Z
Mercedes-Benz,EQE Class,EQE 300,,,dynamic,Mercedes-Benz EQE Class EQE 300,"Search GVG for ""Mercedes-Benz EQE Class EQE 300""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=Mercedes-Benz+EQE+Class+EQE+300,2025-08-20T06:03:50Z
BYD,SEAL,PERFORMANCE,,,dynamic,BYD SEAL PERFORMANCE,"Search GVG for ""BYD SEAL PERFORMANCE""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=BYD+SEAL+PERFORMANCE,2025-08-20T06:03:50Z
BMW,5 Series,i5 eDrive40,,,dynamic,BMW 5 Series i5 eDrive40,"Search GVG for ""BMW 5 Series i5 eDrive40""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=BMW+5+Series+i5+eDrive40,2025-08-20T06:03:50Z
GWM,Ora,Extended Range,,,dynamic,GWM Ora Extended Range,"Search GVG for ""GWM Ora Extended Range""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=GWM+Ora+Extended+Range,2025-08-20T06:03:50Z
GWM,Ora,Standard Range,,,dynamic,GWM Ora Standard Range,"Search GVG for ""GWM Ora Standard Range""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=GWM+Ora+Standard+Range,2025-08-20T06:03:50Z
GWM,Ora,Extended Range GT,,,dynamic,GWM Ora Extended Range GT,"Search GVG for ""GWM Ora Extended Range GT""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=GWM+Ora+Extended+Range+GT,2025-08-20T06:03:50Z
Cupra,Born,"77kWh 4 seat (19 Alloys)""",,,dynamic,"Cupra Born 77kWh 4 seat (19 Alloys)""","Search GVG for ""Cupra Born 77kWh 4 seat (19 Alloys)""""","https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=Cupra+Born+77kWh+4+seat+(19+Alloys)""",2025-08-20T06:03:50Z
Cupra,Born,Born 77kWh 5 seat,,,dynamic,Cupra Born Born 77kWh 5 seat,"Search GVG for ""Cupra Born Born 77kWh 5 seat""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=Cupra+Born+Born+77kWh+5+seat,2025-08-20T06:03:50Z
Ford,Mach-E,Premium 4P RWD,,,dynamic,Ford Mach-E Premium 4P RWD,"Search GVG for ""Ford Mach-E Premium 4P RWD""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=Ford+Mach-E+Premium+4P+RWD,2025-08-20T06:03:50Z
Volvo,C40,Recharge,,,dynamic,Volvo C40 Recharge,"Search GVG for ""Volvo C40 Recharge""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=Volvo+C40+Recharge,2025-08-20T06:03:50Z
Mercedes-Benz,EQE,350 4MATIC,,,dynamic,Mercedes-Benz EQE 350 4MATIC,"Search GVG for ""Mercedes-Benz EQE 350 4MATIC""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=Mercedes-Benz+EQE+350+4MATIC,2025-08-20T06:03:50Z
Mercedes-Benz,EQE Class,EQE 350 4MATIC,,,dynamic,Mercedes-Benz EQE Class EQE 350 4MATIC,"Search GVG for ""Mercedes-Benz EQE Class EQE 350 4MATIC""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=Mercedes-Benz+EQE+Class+EQE+350+4MATIC,2025-08-20T06:03:50Z
MG,ZS EV,72kWh,,,dynamic,MG ZS EV 72kWh,"Search GVG for ""MG ZS EV 72kWh""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=MG+ZS+EV+72kWh,2025-08-20T06:03:50Z
