Scenario,Region,Vehicle Category,2025-26
Slower Growth,NSW,Articulated Truck, -   
Slower Growth,NSW,Bus, 416 
Slower Growth,NSW,Large Light Commercial, 414 
Slower Growth,NSW,Large Residential," 20,293 "
Slower Growth,NSW,Medium Light Commercial," 1,272 "
Slower Growth,NSW,Medium Residential," 62,330 "
Slower Growth,NSW,Motorcycle," 2,487 "
Slower Growth,NSW,Rigid Truck, 564 
Slower Growth,NSW,Small Light Commercial," 1,272 "
Slower Growth,NSW,Small Residential," 62,330 "
Slower Growth,QLD,Articulated Truck, -   
Slower Growth,QLD,Bus, 250 
Slower Growth,QLD,Large Light Commercial, 230 
Slower Growth,QLD,Large Residential," 11,275 "
Slower Growth,QLD,Medium Light Commercial, 707 
Slower Growth,QLD,Medium Residential," 34,629 "
Slower Growth,QLD,Motorcycle," 1,255 "
Slower Growth,QLD,Rigid Truck, 429 
Slower Growth,QLD,Small Light Commercial, 707 
Slower Growth,QLD,Small Residential," 34,629 "
Slower Growth,SA,Articulated Truck, -   
Slower Growth,SA,Bus, 68 
Slower Growth,SA,Large Light Commercial, 61 
Slower Growth,SA,Large Residential," 3,007 "
Slower Growth,SA,Medium Light Commercial, 188 
Slower Growth,SA,Medium Residential," 9,235 "
Slower Growth,SA,Motorcycle, 317 
Slower Growth,SA,Rigid Truck, 93 
Slower Growth,SA,Small Light Commercial, 188 
Slower Growth,SA,Small Residential," 9,235 "
Slower Growth,TAS,Articulated Truck, -   
Slower Growth,TAS,Bus, 35 
Slower Growth,TAS,Large Light Commercial, 17 
Slower Growth,TAS,Large Residential, 815 
Slower Growth,TAS,Medium Light Commercial, 51 
Slower Growth,TAS,Medium Residential," 2,505 "
Slower Growth,TAS,Motorcycle, 108 
Slower Growth,TAS,Rigid Truck, 35 
Slower Growth,TAS,Small Light Commercial, 51 
Slower Growth,TAS,Small Residential," 2,505 "
Slower Growth,VIC,Articulated Truck, -   
Slower Growth,VIC,Bus, 254 
Slower Growth,VIC,Large Light Commercial, 315 
Slower Growth,VIC,Large Residential," 15,452 "
Slower Growth,VIC,Medium Light Commercial, 969 
