Postcode,State,baseline_daily_kwh
0800,NT,605.6575342465753
0810,NT,1456.7315068493149
0812,NT,536.0575342465754
0820,NT,2207.271232876712
0822,NT,124.38082191780822
0828,NT,248.76164383561644
0829,NT,58.69315068493151
0830,NT,494.69863013698637
0832,NT,598.4000000000001
0834,NT,76.02739726027397
0835,NT,134.72054794520548
0836,NT,238.42191780821918
0837,NT,0.0
0838,NT,20.679452054794517
0839,NT,20.679452054794517
0840,NT,0.0
0841,NT,20.679452054794517
0845,NT,0.0
0846,NT,0.0
0847,NT,0.0
0850,NT,124.38082191780822
0852,NT,0.0
0853,NT,20.679452054794517
0854,NT,0.0
0860,NT,10.339726027397258
0862,NT,0.0
0870,NT,643.6712328767123
0872,NT,0.0
0873,NT,55.34794520547945
0874,NT,0.0
0875,NT,38.013698630136986
0880,NT,38.013698630136986
0886,NT,10.339726027397258
2000,NSW,10179.720547945206
2007,NSW,342.64383561643837
2008,NSW,546.9643835616438
2009,NSW,1335.5178082191778
2010,NSW,2052.3917808219176
2011,NSW,1820.3972602739727
2015,NSW,3516.723287671233
2016,NSW,796.2465753424657
2017,NSW,2966.5917808219174
2018,NSW,1418.5397260273971
2019,NSW,1117.690410958904
2020,NSW,8576.024657534246
2021,NSW,1515.767123287671
2022,NSW,1342.512328767123
2023,NSW,1966.0246575342467
2024,NSW,1297.504109589041
2025,NSW,1004.1698630136987
2026,NSW,3112.1726027397262
2027,NSW,1115.1287671232876
2028,NSW,651.186301369863
2029,NSW,1297.504109589041
2030,NSW,2945.865753424657
2031,NSW,2817.882191780822
2032,NSW,813.5808219178082
2033,NSW,796.2465753424657
2034,NSW,1754.1890410958902
2035,NSW,2526.6739726027395
2036,NSW,2305.0657534246575
2037,NSW,1394.7780821917809
2038,NSW,986.835616438356
2039,NSW,958.641095890411
2040,NSW,2429.967123287671
2041,NSW,1792.7232876712328
2042,NSW,1200.7972602739726
2043,NSW,644.1917808219177
2044,NSW,1104.268493150685
2045,NSW,5314.057534246575
2046,NSW,2630.3753424657534
2047,NSW,1259.490410958904
2048,NSW,526.2849315068493
2049,NSW,927.6219178082192
2050,NSW,844.6
2060,NSW,2554.3479452054794
2061,NSW,595.3178082191781
2062,NSW,844.6
2063,NSW,1249.150684931507
2064,NSW,1997.0438356164382
2065,NSW,4883.695890410959
2066,NSW,4825.7863013698625
2067,NSW,4222.169863013699
2068,NSW,2911.764383561644
