"model_release_year","make","model_release_version","model","variant","engine_displacement","engine_configuration","engine_induction","fwd_gears_no","transmission_type_description","side_door_no","seating_capacity","body_style","driving_wheels_no","fuel_type","co2_emissions_combined","co2_emissions_urban","co2_emissions_extra_urban","fuel_consumption_combined","fuel_consumption_urban","fuel_consumption_extra_urban","energy_consumption_whkm","electric_range_km","air_pollution_standard","stationary_noise_data","test_speed","is_current_model","model_end_year","fuel_life_cycle_co2","annual_tailpipe_co2","annual_fuel_cost"
"2014","MINI","F56","Cooper D","Hardtop","1.5","3cyl","Turbo","6","Manual","2","4","Hatch","2","Diesel","97","117","86","3.7","4.5","3.3","","","Euro 5","76.00","3000","No","2025","107","1.36","829"
"2014","MINI","F55","Cooper D","Station Wagon","1.5","3cyl","Turbo","6","Manual","4","5","Hatch","2","Diesel","99","119","88","3.8","4.5","3.3","","","Euro 6","76.00","3000","No","2025","110","1.39","851"
"2014","MINI","F56","Cooper D","Hardtop","1.5","3cyl","Turbo","6","Auto","2","4","Hatch","2","Diesel","103","116","96","3.9","4.4","3.6","","","Euro 5","75.00","3000","No","2025","112","1.44","874"
"2014","MINI","F55","Cooper D","Station Wagon","1.5","3cyl","Turbo","6","Auto","4","5","Hatch","2","Diesel","104","117","97","3.9","4.5","3.7","","","Euro 6","75.00","3000","No","2025","112","1.46","874"
"2015","BMW","F22","2 Series","220d","2.0","4cyl","Turbo","8","Auto","2","4","Coupe","2","Diesel","107","124","97","4.1","4.7","3.7","","","Euro 5","75.00","3000","Yes","0","118","1.5","918"
"2017","Audi","","A3 Sportback","1.6 TDI (85kW) S-Tronic 16 Inch Wheel","1.6","4cyl","Turbo","7","Auto","4","5","Hatch","2","Diesel","110","118","105","4.2","4.5","4","","","Euro 6","69","2375","Yes","0","121","1.54","941"
"2017","Audi","","A3 Sportback","1.6 TDI (85kW) S-Tronic 17 Inch Wheel","1.6","4cyl","Turbo","7","Auto","4","5","Hatch","2","Diesel","111","118","106","4.2","4.5","4.1","","","Euro 6","69","2375","Yes","0","121","1.55","941"
"2017","Audi","","A3 Sportback","1.6 TDI (85kW) S-Tronic 18 Inch Wheel","1.6","4cyl","Turbo","7","Auto","4","5","Hatch","2","Diesel","114","121","109","4.3","4.7","4.2","","","Euro 6","69","2375","Yes","0","124","1.6","963"
"2016","Mercedes-Benz","205","C Class","C250d","2.1","4cyl","Turbo","9","Auto","2","4","Coupe","2","Diesel","115","133","108","4.4","5.2","4.2","","","Euro 6","72","2850","Yes","0","127","1.61","986"
"2015","BMW","F22","2 Series","220d","2.0","4cyl","Turbo","6","Manual","2","4","Coupe","2","Diesel","115","142","99","4.4","5.4","3.8","","","Euro 5","75.00","3000","Yes","0","127","1.61","986"
"2014","BMW","F45","2 Series Active Tourer","218d","2.0","4cyl","Turbo","8","Auto","4","5","Wagon","2","Diesel","116","130","108","4.4","4.9","4.1","","","Euro 6","76.00","3000","Yes","0","127","1.62","986"
"2014","BMW","F45","2 Series Active Tourer","218d","2.0","4cyl","Turbo","6","Manual","4","5","Wagon","2","Diesel","116","136","105","4.4","5.2","4","","","Euro 6","75.00","3000","Yes","0","127","1.62","986"
"2015","BMW","F30","3 Series","320d","2","4cyl","Turbo","8","Auto","4","5","Sedan","2","Diesel","116","136","105","4.4","5.2","4","","","Euro 5","78","3000","Yes","0","127","1.62","986"
"2015","BMW","F30","3 Series","320d","2","4cyl","Turbo","6","Manual","4","5","Sedan","2","Diesel","116","140","102","4.4","5.3","3.9","","","Euro 5","81","3000","Yes","0","127","1.62","986"
"2014","BMW","F22","2 Series","220d","2.0","4cyl","Turbo","8","Auto","2","4","Coupe","2","Diesel","117","136","106","4.4","5.2","4","","","Euro 5","78.00","3000","Yes","0","127","1.64","986"
"2015","BMW","F48","X1","sDrive18d","2","4cyl","Turbo","6","Manual","4","5","Wagon","2","Diesel","117","138","105","4.5","5.3","4","","","Euro 5","76","3000","Yes","0","130","1.64","1008"
"2016","Audi","","A4","2.0 TDI quattro S-Tronic 18 Inch Wheel","2","4cyl","Turbo","7","Auto","4","5","Sedan","4","Diesel","118","136","109","4.5","5.2","4.1","","","Euro 6","74","2375","Yes","0","130","1.65","1008"
"2015","BMW","F34","3 Series Gran Turismo","320d","2","4cyl","Turbo","8","Auto","4","5","Hatch","2","Diesel","120","141","108","4.6","5.4","4.1","","","Euro 5","76","3000","Yes","0","133","1.68","1030"
"2017","Audi","","A5 Coupe","2.0 TDI quattro S-Tronic 18 Inch Wheel","2","4cyl","Turbo","7","Auto","2","4","Coupe","4","Diesel","121","139","112","4.6","5.3","4.2","","","Euro 6","74","2375","Yes","0","133","1.69","1030"
"2016","Audi","","A4","2.0 TDI quattro S-Tronic 19 Inch Wheel","2","4cyl","Turbo","7","Auto","4","5","Sedan","4","Diesel","121","139","112","4.6","5.3","4.3","","","Euro 6","74","2375","Yes","0","133","1.69","1030"
"2017","MINI","F60","Cooper D","Countryman","2","4cyl","Turbo","6","Manual","4","5","Wagon","2","Diesel","123","134","117","4.7","5.1","4.5","","","Euro 5","76","3000","No","2025","136","1.72","1053"
"2016","Renault","PhII","Kangoo","L2","1.5","4cyl","Turbo","5","Manual","3","5","Van","2","Diesel","123","139","113","4.7","5.3","4.3","","","Euro 5","77","3000","Yes","0","136","1.72","1053"
"2015","BMW","F48","X1","sDrive18d","2","4cyl","Turbo","8","Auto","4","5","Wagon","2","Diesel","124","142","114","4.7","5.4","4.3","","","Euro 5","75","3000","Yes","0","136","1.74","1053"
"2017","Audi","","A5 Coupe","2.0 TDI quattro S-Tronic 19 Inch Wheel","2","4cyl","Turbo","7","Auto","2","4","Coupe","4","Diesel","124","142","115","4.7","5.4","4.4","","","Euro 6","74","2375","Yes","0","136","1.74","1053"
"2014","BMW","F36","4 Series","420d Gran Coupe","2.0","4cyl","Turbo","8","Auto","4","5","Coupe","2","Diesel","124","147","111","4.7","5.6","4.2","","","Euro 5","75.00","3000","Yes","0","136","1.74","1053"
"2015","Mazda","","CX-3","","1.5","4cyl","Turbo","6","Auto","4","5","Wagon","2","Diesel","125","138","117","4.8","5.3","4.4","","","Euro 5","71.00","3000","Yes","0","138","1.75","1075"
"2017","BMW","G30","5 Series","520d","2","4cyl","Turbo","8","Auto","4","5","Sedan","2","Diesel","125","142","115","4.8","5.4","4.4","","","Euro 5","73","3000","Yes","0","138","1.75","1075"
"2017","Audi","","A5 Sportback","2.0 TDI quattro S-Tronic 18 Inch Wheel","2","4cyl","Turbo","7","Auto","4","5","Sedan","4","Diesel","125","143","115","4.8","5.5","4.4","","","Euro 6","74","2375","Yes","0","138","1.75","1075"
"2022","Audi","","Q5","35 TDI quattro S-Tronic 20 Inch Wheel","2","4cyl","Turbo","7","Auto","4","5","SUV","2","Diesel","125","144","115","4.8","5.5","4.4","","","Euro 6","73","3150","Yes","0","138","1.75","1075"
"2014","BMW","F22","2 Series","220d","2.0","4cyl","Turbo","6","Manual","2","4","Coupe","2","Diesel","125","155","107","4.8","5.9","4.1","","","Euro 5","75.00","3000","Yes","0","138","1.75","1075"
"2017","MINI","F60","Cooper D","Countryman","2","4cyl","Turbo","8","Auto","4","5","Wagon","2","Diesel","126","137","120","4.8","5.2","4.6","","","Euro 5","75","3000","No","2025","138","1.76","1075"
"2017","Audi","","A5 Coupe","2.0 TDI quattro S-Tronic 20 Inch Wheel","2","4cyl","Turbo","7","Auto","2","4","Coupe","4","Diesel","126","142","117","4.8","5.4","4.5","","","Euro 6","74","2375","Yes","0","138","1.76","1075"
"2017","Audi","","Q2","2.0 TDI quattro S-tronic 16/17 Inch Wheel","2","4cyl","Turbo","7","Other","4","5","SUV","2","Diesel","127","149","114","4.9","5.7","4.4","","","Euro 6","70","2375","Yes","0","141","1.78","1098"
"2015","BMW","F34","3 Series Gran Turismo","320d","2","4cyl","Turbo","6","Manual","4","5","Hatch","2","Diesel","127","155","110","4.8","5.9","4.2","","","Euro 5","76","3000","Yes","0","138","1.78","1075"
"2023","Mazda","","CX-60","Diesel","3.3","6cyl","Turbo","8","Auto","4","5","SUV","4","Diesel","128","137","123","4.9","5.2","4.7","","","Euro 5","73","2813","Yes","0","141","1.79","1098"
"2017","Audi","","A5 Sportback","2.0 TDI quattro S-Tronic 19/20 Inch Wheel","2","4cyl","Turbo","7","Auto","4","5","Sedan","4","Diesel","128","145","119","4.9","5.5","4.5","","","Euro 6","74","2375","Yes","0","141","1.79","1098"
