Reporting entity,Facility name,Type,State,Electricity production (GJ),Electricity production (MWh),"Total scope 1 emissions (t CO2-e)","Total scope 2 emissions (t CO2-e)","Total emissions (t CO2-e)","Emission intensity (t CO2-e/MWh)",Grid connected,Grid,Primary fuel,Important notes
ACCIONA ENERGY OCEANIA PTY LTD,Cathedral Rocks Wind Farm,F,SA,"481,948","133,874",57,127,184,0.00,On,NEM,Wind,-
ACCIONA ENERGY OCEANIA PTY LTD,Gunning Wind Farm,F,NSW,"491,409","136,502",50,218,268,0.00,On,NEM,Wind,-
ACCIONA ENERGY OCEANIA PTY LTD,Mortlake South Wind Farm,F,VIC,"1,019,352","283,153",202,"1,128","1,330",0.00,On,NEM,Wind,-
ACCIONA ENERGY OCEANIA PTY LTD,Mt Gellibrand Wind Farm,F,VIC,"1,025,451","284,847",99,"1,273","1,372",0.00,On,NEM,Wind,-
ACCIONA ENERGY OCEANIA PTY LTD,Waubra Wind Farm,F,VIC,"1,954,964","543,046",186,"1,114","1,300",0.00,On,NEM,Wind,-
ACCIONA ENERGY OCEANIA PTY LTD,Corporate Total,C,-,"4,973,124","1,381,423",594,"3,860","4,454",-,-,-,-,-
ACEN AUSTRALIA PTY LTD,New England Solar Farm,F,NSW,"2,960,424","822,340",53,"4,108","4,161",0.00,On,NEM,Solar,-
ACEN AUSTRALIA PTY LTD,Corporate Total,C,-,"2,960,424","822,340",53,"4,108","4,161",-,-,-,-,-
ADANI RENEWABLE ASSET HOLDINGS PTY LTD,Adani Rugby Run Solar Farm,F,QLD,"570,193","158,387",0,515,515,0.00,On,NEM,Solar,-
ADANI RENEWABLE ASSET HOLDINGS PTY LTD,Corporate Total,C,-,"570,193","158,387",0,515,515,-,-,-,-,-
AGL ENERGY LIMITED,Banimboola Hydro,F,VIC,"91,763","25,490",0,13,13,0.00,On,NEM,Hydro,-
AGL ENERGY LIMITED,Barker Inlet Power Station,F,SA,"1,025,167","284,769","163,814","1,911","165,725",0.58,On,NEM,Gas,-
AGL ENERGY LIMITED,Bayswater Power Station,F,NSW,"55,966,665","15,546,296","13,678,909","33,810","13,712,719",0.88,On,NEM,Black Coal,-
AGL ENERGY LIMITED,Bogong Power Station,F,VIC,"193,748","53,819",0,698,698,0.00,On,NEM,Hydro,-
