"ModelReleaseYear","Make","ModelReleaseVersion","Model","Variant","EngineDisplacement","EngineConfiguration","EngineInduction","FwdGearsNo","TransmissionTypeDescription","SideDoorNo","SeatingCapacity","BodyStyle","DrivingWheelsNo","FuelType","CO2EmissionsCombined","CO2EmissionsUrban","CO2EmissionsExtraUrban","FuelConsumptionCombined","FuelConsumptionUrban","FuelConsumptionExtraUrban","EnergyConsumptionWhkm","ElectricRangeKm","AirPollutionStandard","StationaryNoiseData","TestSpeed","IsCurrentModel","ModelEndYear","FuelLifeCycleCO2","AnnualTailpipeCO2","AnnualFuelCost"
"2017","Suzuki","AZ","Swift","GL","1.2","4cyl","Normal","5","Manual","4","5","Hatch","2","Petrol 91RON","106","134","90","4.6","5.8","3.9","","","Euro 5","74","3750","No","2025","112","1.48","1056"
"2017","Suzuki","","Ignis","GL","1.2","4cyl","Normal","5","Manual","4","5","Hatch","2","Petrol 91RON","107","130","94","4.7","5.6","4.1","","","Euro 5","77","3750","Yes","0","115","1.5","1079"
"2017","Suzuki","AZ","Swift","GL","1.2","4cyl","Normal","1","CVT","4","5","Hatch","2","Petrol 91RON","110","135","96","4.8","5.8","4.2","","","Euro 5","74","3750","No","2025","117","1.54","1102"
"2017","Suzuki","","Ignis","GL","1.2","4cyl","Normal","1","CVT","4","5","Hatch","2","Petrol 91RON","114","133","103","4.9","5.7","4.4","","","Euro 5","77","3750","Yes","0","120","1.6","1125"
"2017","Suzuki","","Ignis","GLX","1.2","4cyl","Normal","1","CVT","4","4","Hatch","2","Petrol 91RON","114","133","103","4.9","5.7","4.4","","","Euro 5","77","3750","Yes","0","120","1.6","1125"
"2014","Mazda","","2","Maxx, Genki","1.5","4cyl","Normal","6","Auto","4","5","Hatch","2","Petrol 91RON","114","142","97","4.9","6.1","4.2","","","Euro 5","75.00","3750","Yes","0","120","1.6","1125"
"2020","Toyota","","Yaris","","1.5","3cyl","Normal","1","CVT","4","5","Hatch","2","Petrol 91RON","114","142","97","4.9","6.1","4.2","","","Euro 5","78","3750","Yes","0","120","1.6","1125"
"2013","Ford","WZ","Fiesta","Sport","1.0","3cyl","Turbo","5","Manual","4","5","Sedan","2","Petrol 91RON","115","147","96","4.9","6.3","4.1","","","Euro 5","73.00","3750","Yes","0","120","1.61","1125"
"2020","Kia","2021","Picanto","S","1.2","4cyl","Normal","5","Manual","4","5","Hatch","2","Petrol 91RON","117","147","99","5","6.3","4.2","","","Euro 5","76","3750","Yes","0","122","1.64","1148"
"2020","Kia","2021","Picanto","GT-Line","1.2","4cyl","Normal","5","Manual","4","5","Hatch","2","Petrol 91RON","117","147","99","5","6.3","4.2","","","Euro 5","76","3750","Yes","0","122","1.64","1148"
"2016","Suzuki","","Baleno","GL","1.4","4cyl","Normal","5","Manual","4","5","Hatch","2","Petrol 91RON","118","145","102","5.1","6.3","4.4","","","Euro 5","77","3750","No","2025","125","1.65","1171"
"2014","Mazda","","2","Maxx, Genki","1.5","4cyl","Normal","6","Manual","4","5","Hatch","2","Petrol 91RON","121","153","102","5.2","6.6","4.4","","","Euro 5","75.00","3750","Yes","0","127","1.69","1194"
"2020","Kia","2021","Picanto","GT","1","3cyl","Turbo","5","Manual","4","5","Hatch","2","Petrol 91RON","122","157","102","5.2","6.8","4.4","","","Euro 5","72","3375","Yes","0","127","1.71","1194"
"2020","Kia","2021","Rio","GT-Line","1","3cyl","Turbo","7","Other","4","5","Hatch","2","Petrol 91RON","124","145","111","5.3","6.3","4.8","","","Euro 5","74","4500","Yes","0","129","1.74","1217"
"2020","Toyota","","Yaris Cross","","1.5","3cyl","Normal","1","CVT","4","5","Hatch","2","Petrol 91RON","124","150","109","5.4","6.6","4.8","","","Euro 5","76","3750","Yes","0","132","1.74","1240"
"2023","Honda","","CR-V","e:HEV RS","2","4cyl","Normal","1","Auto","4","5","SUV","2","Petrol 91RON","125","112","133","5.5","4.9","5.8","","","Euro 5","71","3750","Yes","0","134","1.75","1263"
"2024","Hyundai","2025","i30","1.5 T-GDI","1.5","4cyl","Turbo","6","Manual","4","5","Hatch","2","Petrol 91RON","125","143","115","5.5","6.4","5.1","","","Euro 6","77","3750","Yes","0","134","1.75","1263"
"2020","Kia","2021","Stonic","GT-Line","1","3cyl","Turbo","7","Other","4","5","Hatch","2","Petrol 91RON","125","147","112","5.4","6.4","4.9","","","Euro 5","74","4500","Yes","0","132","1.75","1240"
"2023","Kia","","Picanto","GT-Line MT","1.2","4cyl","Normal","5","Manual","4","5","Hatch","2","Petrol 91RON","125","157","107","5.4","6.8","4.6","","","Euro 5","76","3750","Yes","0","132","1.75","1240"
"2023","Kia","","Picanto","Sport MT","1.2","4cyl","Normal","5","Manual","4","5","Hatch","2","Petrol 91RON","125","157","107","5.4","6.8","4.6","","","Euro 5","76","3750","Yes","0","132","1.75","1240"
"2024","Hyundai","2025","i30","1.5 T-GDI","1.5","4cyl","Turbo","7","Auto","4","5","Hatch","2","Petrol 91RON","126","150","113","5.6","6.6","5","","","Euro 6","76","3750","Yes","0","137","1.76","1286"
"2019","Suzuki","","Baleno","GL / GLX","1.4","4cyl","Normal","4","Auto","4","5","Hatch","2","Petrol 91RON","126","156","109","5.4","6.7","4.7","","","Euro 5","73","3750","No","2025","132","1.76","1240"
"2020","Toyota","","Yaris","","1.5","3cyl","Normal","6","Manual","4","5","Hatch","2","Petrol 91RON","126","162","105","5.4","7","4.5","","","Euro 5","77","3750","Yes","0","132","1.76","1240"
"2014","Mazda","","2","Neo","1.5","4cyl","Normal","6","Manual","4","5","Hatch","2","Petrol 91RON","126","167","102","5.4","7.2","4.4","","","Euro 5","75.00","3750","Yes","0","132","1.76","1240"
"2016","Ford","WZ","Fiesta","Sport","1","3cyl","Turbo","6","Auto","4","5","Sedan","2","Petrol 91RON","126","170","100","5.4","7.3","4.3","","","Euro 5","73","3750","Yes","0","132","1.76","1240"
"2014","Mazda","","2","Neo","1.5","4cyl","Normal","6","Auto","4","5","Hatch","2","Petrol 91RON","128","169","104","5.5","7.3","4.5","","","Euro 5","75.00","3750","Yes","0","134","1.79","1263"
"2020","Kia","2021","Rio","S","1.4","4cyl","Normal","6","Manual","4","5","Hatch","2","Petrol 91RON","129","166","108","5.6","7.2","4.6","","","Euro 5","79","4500","Yes","0","137","1.81","1286"
"2020","Kia","2021","Rio","Sport","1.4","4cyl","Normal","6","Manual","4","5","Hatch","2","Petrol 91RON","129","166","108","5.6","7.2","4.6","","","Euro 5","79","4500","Yes","0","137","1.81","1286"
"2013","Ford","BK","Ecosport","Titanium","1.0","3cyl","Turbo","5","Manual","4","5","Wagon","2","Petrol 91RON","131","154","117","5.7","6.7","5.1","","","Euro 5","73.00","3750","Yes","0","139","1.83","1309"
"2013","Ford","BK","Ecosport","Trend","1.0","3cyl","Turbo","5","Manual","4","5","Wagon","2","Petrol 91RON","131","154","117","5.7","6.7","5.1","","","Euro 5","73.00","3750","Yes","0","139","1.83","1309"
"2018","Lexus","","UX200","","2","4cyl","Normal","1","CVT","4","5","Hatch","2","Petrol 91RON","132","159","116","5.8","7","5.1","","","Euro 5","77","3750","Yes","0","142","1.85","1332"
"2017","Honda","","City","VTi","1.5","4cyl","Normal","1","CVT","4","5","Sedan","2","Petrol 91RON","132","173","109","5.8","7.6","4.8","","","Euro 5","73","3750","Yes","0","142","1.85","1332"
"2020","Kia","2021","Rio","GT-Line","1","3cyl","Turbo","7","Other","4","5","Hatch","2","Petrol 91RON","132","269","111","5.7","7.3","4.8","","","Euro 5","74","4500","Yes","0","139","1.85","1309"
"2017","Honda","","City","VTiL","1.5","4cyl","Normal","1","CVT","4","5","Sedan","2","Petrol 91RON","133","171","111","5.9","7.5","4.9","","","Euro 5","73","3750","Yes","0","144","1.86","1355"
"2024","Renault","2024","Arkana","","1.3","4cyl","Turbo","7","Auto","4","5","Hatch","2","Petrol 91RON","133","172","111","5.9","7.6","4.9","","","Euro 5","79","3750","Yes","0","144","1.86","1355"
