suburb,latitude,longitude
Albury,-37.5442344,145.0076408
Black Rock,-37.9706564,145.0212822
Harcourt,-37.8374349,145.1115353
Wedderburn,-37.7917062,144.5494853
Croydon,-37.7955004,145.2801507
Broadford,-37.6362329,145.0265708
Caroline Springs,-37.7340623,144.7370017
Chelsea,-38.0497386,145.121407
Sunbury,-37.5791363,144.7279832
Leongatha,-38.1199326,145.3182716
Warragul,-37.6694522,144.9350241
Corio,-37.9623312,145.1346687
Whittlesea,-37.5121301,145.1177321
Armstrong Creek,-37.6289691,145.8640385
Woodend,-37.7934621,144.5595902
Moordialloc,-38.0102322,145.0929673
Weir Views,-37.7323715,144.5708942
Sydenham,-37.6997223,144.7653295
Yea,-37.4927455,145.1572676
Greensborough,-37.7037383,145.1079105
Oak Park,-37.7180181,144.9215041
Yarrawonga,-37.9133914,145.1301259
Oakleigh South,-37.9248257,145.0921745
Horsham,-38.102184,145.2949057
Dandenong,-37.98749,145.2147923
Frankston,-38.150925,145.142239
Deer Park,-37.7686602,144.7713077
Macedon,-37.7726251,145.1131159
Kilmore,-37.6750485,144.9242188
Wycheproof,-37.5432106,145.0085889
Altona North,-37.8378229,144.8342853
Avoca,-37.6146532,145.0933095
Brunswick East,-37.7688802,144.9776825
Hepburn Springs,-37.7481414,144.739508
Mickleham,-37.5344793,144.9120372
Daylesford,-37.627671,145.0254821
Foster,-37.5902461,144.9342136
Hamilton,-37.8758579,145.1284529
South Melbourne,-37.83344,144.9570533
Camberwell,-37.8384623,145.0740767
Geelong,-37.8396934,145.008539
Cowes,-37.7092585,144.7872516
Cheltenham,-37.9670081,145.0546951
Malvern,-37.8576088,145.0350666
Beaufort,-38.0067519,145.1779706
Lilydale,-37.7571582,145.3458656
Stawell,-38.1087492,145.2895959
Maryborough,-37.850401,144.5882783
Camperdown,-37.764834,144.8219857
Sebastopol,-37.8709314,145.0193037
Castlemaine,-37.6303914,145.0273223
Alexandra,-37.8212422,144.9736634
Sunshine West,-37.7983442,144.8110919
Moe,-37.6132253,145.0980154
Holbrook,-37.7702694,144.9361781
Seymour,-38.0021533,145.0974829
Grovedale,-37.8171289,145.0949242
Yarra Glen,-37.6573475,145.3743964
Heidelberg,-37.7524788,145.0701284
Inglewood,-37.7924237,144.5498933
Derrimut,-37.7987978,144.776051
Box Hill South,-37.8366236,145.1233644
Ringwood,-37.8158726,145.2291113
Sale,-37.87076,145.65249
Cranbourne,-38.0997308,145.2807256
Ocean Grove,-38.170954,145.0972517
Chirnside Park,-37.9047634,144.6530424
Heyfield,-37.8237397,144.7132186
Fawkner,-37.7146535,144.9605402
Hampton,-37.9381127,145.0014764
St Arnaud,-37.792199,144.5486025
Jerilderie,-38.0097571,145.326648
St Kilda,-37.8638261,144.981637
Bundoora,-37.6982468,145.0596757
Lorne,-37.6734151,145.0272333
Airport West,-37.7222576,144.8834942
Richmond,-37.80745,144.9907213
Tarneit,-37.8321522,144.69462
Mornington,-38.227699,145.0609375
Bannockburn,-37.732231,145.1014989
Fishermans Bend,-37.8245644,144.922933
City Of Casey,-38.0266156,145.3045626
Hawthorn,-37.8244246,145.0317207
Hastings,-38.3056058,145.1859934
Sandown,-37.9503548,145.1665966
Wallan,-37.5040691,145.1090152
Ballarat,-37.8050281,144.9457629
Dandenong North,-37.9558319,145.2143234
Coldstream,-37.7291014,145.378424
Kilsyth South,-37.8315054,145.3110008
Southbank,-37.8253618,144.9640203
Ascot Vale,-37.7753252,144.921825
Colac,-38.0761008,145.1472438
Marong,-37.793821,144.5506713
Roxburgh Park,-37.6381563,144.9353302
Armadale,-37.8563442,145.0193207
Ararat,-38.0625563,145.5506248
Chadstone,-37.8822799,145.1001365
Nan,-37.8688729,145.2126338
Carlton,-37.8004228,144.9684343
Cobblebank,-37.7125512,144.6040773
Yarra Junction,-37.7821693,145.6150255
Campbellfield,-37.6641298,144.959583
Port Melbourne,-37.8333613,144.9219203
Diamond Creek,-37.6733272,145.1588075
Flinders,-38.473312,145.0187057
Meredith,-37.7657176,145.1589446
Omeo,-37.8800365,144.6170498
Altona,-37.8671503,144.8294637
Creswick,-37.8191777,145.0167539
Cohuna,-37.7062908,144.8039161
Dimboola,-37.6804576,144.9123982
Bright,-37.6245646,145.0136597
Moonee Ponds,-37.765935,144.9192614
Nhill,-37.6730847,144.9282577
Lavington,-37.603329,144.9253134
Werribee,-37.907984,144.6416748
Coburg North,-37.7272635,144.9678538
Rye,-38.3821684,144.8099264
Lynbrook,-38.0558639,145.2561128
Brunswick,-37.7664715,144.9613103
Kerang,-37.7200123,145.0271063
Bendigo,-37.720574,145.047976
Echuca,-37.7821653,144.5503709
Coburg,-37.7449752,144.9643314
Diamond Creek,-37.6733272,145.1588075
Trentham,-37.7000743,144.8908894
Jindabyne,-37.6403391,145.084278
Glen Waverley,-37.8795908,145.1622405
Keysborough,-38.0053607,145.1674069
Avenel,-37.8958126,144.6304628
Epping,-37.6523847,145.0315487
Brighton,-37.9081962,144.9957991
Newbridge,-37.9715559,145.124582
Yarram,-38.1353489,145.1666795
Healsville,-37.6635261,145.4817549
Maffra,-37.6601922,144.9408062
Euroa,-37.7639651,144.8287004
Benalla,-37.8059585,144.9432551
Heathcote,-37.7326399,144.733868
Mooroopna,-37.7852115,144.5605697
Wangaratta,-37.787905,144.5592084
Melbourne,-37.8142454,144.9631732
Warracknabeal,-37.7853138,144.5406661
Highton,-37.8163364,145.0687942
Point Cook,-37.9064862,144.7533059
Orbost,-37.8379885,145.2121845
Forest Hill,-37.8362738,145.1690911
Ovens,-37.8119107,144.8154073
Clyde North,-38.1028681,145.3302814
Rowville,-37.9239267,145.2447672
Shepparton,-37.7884948,144.5582739
Malvern East,-37.876835,145.0658739
Keilor Downs,-37.7205762,144.8047614
