Suburb,Population,suburb_key,Dwellings,Income,Vehicles_per_Dwelling,Station_Count,Public_Chargers,Total_Points,latitude,longitude,Charger_to_Pop_Ratio,Stations_to_Pop_Ratio
Abbotsford,10294,abbotsford,9364.0,2333.0,1.6,1,1,2.0,-37.8045508,144.9988542,9.714396735962697e-05,9.714396735962697e-05
Airport West,8647,airport west,3890.0,1761.0,1.7,1,1,6.0,-37.7222576,144.8834942,0.00011564704521799469,0.00011564704521799469
Albert Park,17184,albert park,53131.0,2076.0,1.1,0,0,0.0,,,0.0,0.0
Alphington - Fairfield,9688,alphington fairfield,4214.0,2112.0,1.5,0,0,0.0,,,0.0,0.0
Altona,14232,altona,40537.0,2123.0,1.8,2,2,4.0,-37.8671503,144.8294637,0.0001405283867341203,0.0001405283867341203
Altona Meadows,18793,altona meadows,7778.0,1573.0,1.8,0,0,0.0,,,0.0,0.0
Altona North,15914,altona north,6367.0,1740.0,1.7,1,1,4.0,-37.8378229,144.8342853,6.283775292195552e-05,6.283775292195552e-05
Ardeer - Albion,7908,ardeer albion,3541.0,1366.0,1.4,0,0,0.0,,,0.0,0.0
Armadale,9997,armadale,36279.0,1774.0,2.0,1,1,2.0,-37.8563442,145.0193207,0.00010003000900270081,0.00010003000900270081
Ascot Vale,16154,ascot vale,7025.0,2192.0,1.5,1,1,2.0,-37.7753252,144.921825,6.19041723412158e-05,6.19041723412158e-05
Ashburton,8403,ashburton,3681.0,2937.0,1.9,0,0,0.0,,,0.0,0.0
Ashwood - Chadstone,20947,ashwood chadstone,8311.0,2011.0,1.7,0,0,0.0,,,0.0,0.0
Aspendale Gardens - Waterways,9099,aspendale gardens waterways,3009.0,2348.0,2.2,0,0,0.0,,,0.0,0.0
Avondale Heights,12822,avondale heights,4906.0,1587.0,1.8,0,0,0.0,,,0.0,0.0
Balwyn,16966,balwyn,7082.0,2017.0,1.7,0,0,0.0,,,0.0,0.0
Balwyn North,22325,balwyn north,7858.0,2350.0,2.0,0,0,0.0,,,0.0,0.0
Bayswater,13305,bayswater,32142.0,1739.0,1.7,0,0,0.0,,,0.0,0.0
Bayswater North,12043,bayswater north,4640.0,1800.0,2.0,0,0,0.0,,,0.0,0.0
Beaconsfield - Officer,28367,beaconsfield officer,8397.0,2146.0,2.1,0,0,0.0,,,0.0,0.0
Beaumaris,14422,beaumaris,5513.0,2622.0,2.0,0,0,0.0,,,0.0,0.0
