Suburb,Cluster,Cluster_Label,Population,Income,Vehicles_per_Dwelling,Public_Chargers,Station_Count,Avg_Congestion,Demand_Index,Supply_Index,Demand_Supply_Ratio,Simulated_Usage
Abbotsford,2,EV-Ready Suburbs,10294,2333.0,1.6,1,1,0.0,0.6258059858579641,2,0.20860199528598802,2.582734105871113
Airport West,2,EV-Ready Suburbs,8647,1761.0,1.7,1,1,0.0,0.5585344260924742,2,0.18617814203082472,1.7235171191370626
Albert Park,1,High Population – Infrastructure Gap,17184,2076.0,1.1,0,0,0.0,0.7182117657787049,0,0.7182117657787049,7.829806195887742
Alphington - Fairfield,0,Affluent Car-Dependent (High Potential),9688,2112.0,1.5,0,0,0.0,0.5521549316645579,0,0.5521549316645579,7.044579173053604
Altona,2,EV-Ready Suburbs,14232,2123.0,1.8,2,2,0.0,0.9733611462572239,4,0.19467222925144478,1.7125689177911119
Altona Meadows,1,High Population – Infrastructure Gap,18793,1573.0,1.8,0,0,0.0,1.2852990459255207,0,1.2852990459255207,12.618853502306026
Altona North,2,EV-Ready Suburbs,15914,1740.0,1.7,1,1,0.0,1.0279307108633784,2,0.3426435702877928,5.005648518385319
Ardeer - Albion,1,High Population – Infrastructure Gap,7908,1366.0,1.4,0,0,0.0,0.4206590751062932,0,0.4206590751062932,4.974025480215841
Armadale,2,EV-Ready Suburbs,9997,1774.0,2.0,1,1,0.0,0.7596879785095768,2,0.25322932616985894,2.062818875763637
Ascot Vale,2,EV-Ready Suburbs,16154,2192.0,1.5,1,1,0.0,0.9206761732152423,2,0.3068920577384141,3.6114806209701054
Ashburton,0,Affluent Car-Dependent (High Potential),8403,2937.0,1.9,0,0,0.0,0.6066295067765506,0,0.6066295067765506,5.602877374953043
Ashwood - Chadstone,1,High Population – Infrastructure Gap,20947,2011.0,1.7,0,0,0.0,1.3530265552629879,0,1.3530265552629879,13.064535799059621
Aspendale Gardens - Waterways,0,Affluent Car-Dependent (High Potential),9099,2348.0,2.2,0,0,0.0,0.7605922784939986,0,0.7605922784939986,7.847885056506019
Avondale Heights,1,High Population – Infrastructure Gap,12822,1587.0,1.8,0,0,0.0,0.8769278117840167,0,0.8769278117840167,6.855997873182368
Balwyn,1,High Population – Infrastructure Gap,16966,2017.0,1.7,0,0,0.0,1.095882395407068,0,1.095882395407068,9.233906121557649
Balwyn North,0,Affluent Car-Dependent (High Potential),22325,2350.0,2.0,0,0,0.0,1.69651236573235,0,1.69651236573235,16.402836128082527
Bayswater,1,High Population – Infrastructure Gap,13305,1739.0,1.7,0,0,0.0,0.8594079494807874,0,0.8594079494807874,7.58124837447345
Bayswater North,0,Affluent Car-Dependent (High Potential),12043,1800.0,2.0,0,0,0.0,0.9151667825538496,0,0.9151667825538496,9.46591515813377
Beaconsfield - Officer,1,High Population – Infrastructure Gap,28367,2146.0,2.1,0,0,0.0,2.2634362639492074,0,2.2634362639492074,21.726338563970863
Beaumaris,0,Affluent Car-Dependent (High Potential),14422,2622.0,2.0,0,0,0.0,1.0959507878428647,0,1.0959507878428647,9.547204177093356
Belgrave - Selby,0,Affluent Car-Dependent (High Potential),9991,2253.0,2.4,0,0,0.0,0.9110784347251194,0,0.9110784347251194,10.576433116172748
Bentleigh East (North),0,Affluent Car-Dependent (High Potential),17553,2250.0,1.8,0,0,0.0,1.2004924255377356,0,1.2004924255377356,11.77914795489082
Bentleigh East (South),0,Affluent Car-Dependent (High Potential),14770,2173.0,1.8,0,0,0.0,1.0101562767157952,0,1.0101562767157952,10.169090971845877
Bentleigh - Mckinnon,1,High Population – Infrastructure Gap,26825,2240.0,1.7,0,0,0.0,1.7327033630080513,0,1.7327033630080513,15.902285443867058
Berwick (North),1,High Population – Infrastructure Gap,23797,1885.0,2.0,0,0,0.0,1.8083719940574574,0,1.8083719940574574,17.539337216049393
Berwick (South East),0,Affluent Car-Dependent (High Potential),20002,2361.0,2.2,0,0,0.0,1.6719822787599692,0,1.6719822787599692,16.830745377309558
Berwick (South West),0,Affluent Car-Dependent (High Potential),12791,2175.0,2.1,0,0,0.0,1.0206089206533757,0,1.0206089206533757,9.055095629111454
Blackburn,1,High Population – Infrastructure Gap,23471,2050.0,1.7,0,0,0.0,1.5160589238830184,0,1.5160589238830184,15.536287257175855
Blackburn South,0,Affluent Car-Dependent (High Potential),11079,1861.0,1.7,0,0,0.0,0.7156242519577334,0,0.7156242519577334,6.555603829658529
Boronia,1,High Population – Infrastructure Gap,24565,1609.0,1.8,0,0,0.0,1.680060185343501,0,1.680060185343501,16.508908103641737
Box Hill,1,High Population – Infrastructure Gap,26668,1836.0,1.6,0,0,0.0,1.6212350913988913,0,1.6212350913988913,15.610644301759518
Box Hill North,1,High Population – Infrastructure Gap,19435,1920.0,1.7,0,0,0.0,1.2553621569454418,0,1.2553621569454418,14.405899753963356
Braeside,1,High Population – Infrastructure Gap,28,933.0,1.6,0,0,0.0,0.0017022117353820668,0,0.0017022117353820668,0.003524892615886746
Braybrook,1,High Population – Infrastructure Gap,20699,1686.0,1.6,0,0,0.0,1.2583600253811928,0,1.2583600253811928,11.525889324856028
Brighton,2,EV-Ready Suburbs,24107,1352.0,2.1,1,1,0.0,1.923525858040101,2,0.6411752860133669,7.234297772236858
Brighton East,2,EV-Ready Suburbs,17261,2720.0,1.9,2,2,0.0,1.2461063806343018,4,0.24922127612686035,1.2713691112975813
Broadmeadows,1,High Population – Infrastructure Gap,14786,1281.0,1.8,0,0,0.0,1.011250555688541,0,1.011250555688541,10.321369151890165
Brookfield,0,Affluent Car-Dependent (High Potential),10408,2821.0,2.1,0,0,0.0,0.8304665503995259,0,0.8304665503995259,6.344995380115484
Brunswick East,2,EV-Ready Suburbs,14438,2087.0,1.2,1,1,0.0,0.6582999920208825,2,0.2194333306736275,0.8661472578378444
Brunswick (North),1,High Population – Infrastructure Gap,14595,2062.0,1.2,0,0,0.0,0.6654584003009267,0,0.6654584003009267,6.851445238878391
Brunswick (South),1,High Population – Infrastructure Gap,15190,2126.0,1.1,0,0,0.0,0.6348717831807803,0,0.6348717831807803,7.0871844118032135
Brunswick West,1,High Population – Infrastructure Gap,15644,1786.0,1.3,0,0,0.0,0.7727281362681286,0,0.7727281362681286,7.898649643871257
Bulleen,1,High Population – Infrastructure Gap,11762,1816.0,1.8,0,0,0.0,0.8044318298396197,0,0.8044318298396197,7.928670016007957
Bundoora (East),0,Affluent Car-Dependent (High Potential),10240,1705.0,1.9,0,0,0.0,0.7392462393659261,0,0.7392462393659261,7.091358698069973
Bundoora (North),0,Affluent Car-Dependent (High Potential),8005,1833.0,2.0,0,0,0.0,0.6083127206131002,0,0.6083127206131002,4.6046052157635735
Bundoora (West),1,High Population – Infrastructure Gap,6742,1423.0,1.8,0,0,0.0,0.46110180214068325,0,0.46110180214068325,3.8911738130121236
Burnside,0,Affluent Car-Dependent (High Potential),6449,2069.0,1.8,0,0,0.0,0.4410628184522792,0,0.4410628184522792,3.9499894135630043
Burnside Heights,0,Affluent Car-Dependent (High Potential),6499,2246.0,2.2,0,0,0.0,0.5432563158514668,0,0.5432563158514668,6.489685384733583
Burwood,1,High Population – Infrastructure Gap,14918,1867.0,1.3,0,0,0.0,0.736867702432111,0,0.736867702432111,7.712295313889571
Burwood East,1,High Population – Infrastructure Gap,12366,1610.0,1.7,0,0,0.0,0.7987552576685018,0,0.7987552576685018,6.224512421322283
Cairnlea,0,Affluent Car-Dependent (High Potential),10045,2062.0,2.3,0,0,0.0,0.8778359113482048,0,0.8778359113482048,9.102443082876844
Camberwell,2,EV-Ready Suburbs,22120,2472.0,1.8,1,1,0.0,1.5128406798208118,2,0.5042802266069373,4.657719985653056
Campbellfield - Coolaroo,1,High Population – Infrastructure Gap,16438,1104.0,1.8,0,0,0.0,1.1242348596245255,0,1.1242348596245255,10.565426595939297
Carlton,2,EV-Ready Suburbs,23954,1954.0,1.6,2,2,0.0,1.4562421396193581,4,0.2912484279238716,3.524160568079584
Carlton North - Princes Hill,0,Affluent Car-Dependent (High Potential),8747,2355.0,1.3,0,0,0.0,0.43205401482596023,0,0.43205401482596023,5.351539670755553
Carnegie,1,High Population – Infrastructure Gap,20903,1416.0,1.8,0,0,0.0,1.4296070854563485,0,1.4296070854563485,15.227350973679684
Caroline Springs,2,EV-Ready Suburbs,21022,2133.0,2.1,1,1,0.0,1.6773700828688347,2,0.5591233609562782,4.752016086340144
Carrum Downs,2,EV-Ready Suburbs,23342,1658.0,1.9,1,1,0.0,1.6851060272733838,2,0.5617020090911279,5.307807715060064
Carrum - Patterson Lakes,0,Affluent Car-Dependent (High Potential),12445,1853.0,1.8,0,0,0.0,0.8511438634886982,0,0.8511438634886982,8.842702066290546
Caulfield (North),1,High Population – Infrastructure Gap,24485,2184.0,1.6,0,0,0.0,1.488523369315354,0,1.488523369315354,15.860778820275899
Caulfield (South),0,Affluent Car-Dependent (High Potential),18975,2289.0,1.7,0,0,0.0,1.2256494431715852,0,1.2256494431715852,11.777320193870562
Chelsea - Bonbeach,1,High Population – Infrastructure Gap,15882,1718.0,1.6,0,0,0.0,0.9655188136192138,0,0.9655188136192138,9.46952915952832
Chelsea Heights,0,Affluent Car-Dependent (High Potential),5456,1867.0,1.9,0,0,0.0,0.3938796369121575,0,0.3938796369121575,2.832461395115547
Chirnside Park,2,EV-Ready Suburbs,12506,2084.0,2.1,1,1,0.0,0.997868435751006,2,0.332622811917002,2.1300214950893492
