Suburb,Station_Count
Mooroopna,1
Abbotsford,1
Airport West,1
Albury,1
Alexandra,1
Altona,2
Altona North,1
Ararat,3
Armadale,1
Armstrong Creek,2
Ascot Vale,1
Avenel,1
Avoca,1
Bairnsdale,5
Ballarat,3
Bannockburn,1
Baranduda,1
Barnawartha North,1
Beaufort,1
Benalla,1
Bendigo,2
Berwick,1
Black Rock,1
Box Hill South,1
Bright,1
Brighton,1
Brighton East,2
Broadford,1
Brunswick,4
Brunswick East,1
Bundoora,1
Camberwell,1
Campbellfield,1
Camperdown,1
Cape Paterson,1
Carlton,2
Caroline Springs,1
Carrum Downs,1
Castlemaine,1
Chadstone,2
Chelsea,1
Cheltenham,2
Chirnside Park,1
City Of Casey,1
Clyde North,1
Cobblebank,1
Coburg,1
Coburg North,1
Cohuna,1
Colac,1
Coldstream,1
Corio,1
Cowes,1
Cranbourne,1
Cranbourne West,1
Creswick,1
Croydon,1
Curlewis,1
Dandenong,1
Dandenong North,1
Dartmoor,1
Daylesford,1
Deer Park,1
Deniliquin,1
Derrimut,1
Diamond Creek,1
Dimboola,1
Dunkeld,1
East Bendigo,1
Echuca,1
Edenhope,1
Eltham,1
Epping,1
Euroa,2
Fawkner,1
Fishermans Bend,1
Flinders,1
Forest Hill,1
Foster,1
Frankston,1
Geelong,1
Geelong West,1
Glen Waverley,1
Glenrowan,2
Greensborough,1
Grovedale,2
Hamilton,1
Hamilton Valley,1
Hampton,1
Harcourt,1
Harpley,1
Hastings,1
Hawthorn,1
Healsville,2
Heathcote,1
Heidelberg,2
Hepburn Springs,1
Heyfield,1
Highton,1
Holbrook,2
Horsham,2
Inglewood,1
Invermay Park,1
Jan Juc,1
Jerilderie,1
Jindabyne,1
Keilor Downs,1
Kerang,1
Keysborough,1
Kilmore,1
Kilsyth South,1
Korumburra,2
Kyneton,1
Lakes Entrance,2
Lavington,1
Leongatha,2
Lilydale,1
Lorne,1
Lucas,1
Lynbrook,1
Macedon,1
Maffra,1
Malvern,1
Malvern East,1
Marong,1
Maryborough,1
Meeniyan,1
Melbourne,4
Meredith,1
Mickleham,3
Moe,1
Moonee Ponds,1
Moordialloc,1
Mornington,1
Newbridge,1
Nhill,1
Oak Park,1
Oakleigh South,1
Ocean Grove,1
Omeo,1
Orbost,1
Ovens,1
Point Cook,1
Porepunkah,1
Port Melbourne,4
Portland,1
Queenscliff,1
Richmond,2
Ringwood,1
Rowville,1
Roxburgh Park,1
Rye,1
Sale,2
Sandown,1
Sandringham,1
Sea Lake,1
Sebastopol,1
Seymour,1
Shepparton,1
South Melbourne,1
Southbank,1
St Arnaud,1
St Kilda,1
Stawell,2
Summerlands,1
Sunbury,1
Sunshine West,1
Swan Hill,1
Sydenham,1
Tarneit,2
Tatura,1
Taylor Lakes,1
Traralgon,2
Trentham,1
Wallan,1
Wangaratta,1
Warnambool,3
Warracknabeal,1
Warragul,1
Warrenheip,1
Waurn Ponds,1
Wedderburn,1
Weir Views,1
Werribee,3
Whittlesea,1
Winchelsea,1
Wodonga,1
Woodend,1
Wycheproof,2
Yackandandah,1
Yarck,1
Yarra Glen,1
Yarra Junction,1
Yarram,1
Yarrawonga,2
Yea,1
Diamond Creek,1
