suburb_key,latitude,longitude
abbotsford,-37.8045508,144.9988542
airport west,-37.7222576,144.8834942
albury,-37.5442344,145.0076408
alexandra,-37.8212422,144.9736634
altona,-37.8671503,144.8294637
altona north,-37.8378229,144.8342853
ararat,-38.0625563,145.5506248
armadale,-37.8563442,145.0193207
armstrong creek,-37.6289691,145.8640385
ascot vale,-37.7753252,144.921825
avenel,-37.8958126,144.6304628
avoca,-37.6146532,145.0933095
ballarat,-37.8050281,144.9457629
bannockburn,-37.732231,145.1014989
beaufort,-38.0067519,145.1779706
benalla,-37.8059585,144.9432551
bendigo,-37.720574,145.047976
berwick,-38.0398297,145.3451089
black rock,-37.9706564,145.0212822
box hill south,-37.8366236,145.1233644
bright,-37.6245646,145.0136597
brighton,-37.9081962,144.9957991
brighton east,-37.9171728,145.0163663
broadford,-37.6362329,145.0265708
brunswick,-37.7664715,144.9613103
brunswick east,-37.7688802,144.9776825
bundoora,-37.6982468,145.0596757
camberwell,-37.8384623,145.0740767
campbellfield,-37.6641298,144.959583
camperdown,-37.764834,144.8219857
carlton,-37.8004228,144.9684343
caroline springs,-37.7340623,144.7370017
carrum downs,-38.1003312,145.1788657
castlemaine,-37.6303914,145.0273223
chadstone,-37.8822799,145.1001365
chelsea,-38.0497386,145.121407
cheltenham,-37.9670081,145.0546951
chirnside park,-37.9047634,144.6530424
city of casey,-38.0266156,145.3045626
clyde north,-38.1028681,145.3302814
cobblebank,-37.7125512,144.6040773
coburg,-37.7449752,144.9643314
coburg north,-37.7272635,144.9678538
cohuna,-37.7062908,144.8039161
colac,-38.0761008,145.1472438
coldstream,-37.7291014,145.378424
corio,-37.9623312,145.1346687
cowes,-37.7092585,144.7872516
cranbourne,-38.0997308,145.2807256
cranbourne west,-38.102241,145.2517182
creswick,-37.8191777,145.0167539
croydon,-37.7955004,145.2801507
curlewis,-37.8148997,145.1062282
dandenong,-37.98749,145.2147923
dandenong north,-37.9558319,145.2143234
dartmoor,-37.705345,144.6794568
daylesford,-37.627671,145.0254821
deer park,-37.7686602,144.7713077
derrimut,-37.7987978,144.776051
diamond creek,-37.6733272,145.1588075
dimboola,-37.6804576,144.9123982
dunkeld,-37.766817,144.8245105
echuca,-37.7821653,144.5503709
edenhope,-37.8054372,145.3280915
eltham,-37.713736,145.147673
epping,-37.6523847,145.0315487
euroa,-37.7639651,144.8287004
fawkner,-37.7146535,144.9605402
fishermans bend,-37.8245644,144.922933
flinders,-38.473312,145.0187057
forest hill,-37.8362738,145.1690911
foster,-37.5902461,144.9342136
frankston,-38.150925,145.142239
geelong,-37.8396934,145.008539
geelong west,-37.8054508,144.879879
glen waverley,-37.8795908,145.1622405
greensborough,-37.7037383,145.1079105
grovedale,-37.8171289,145.0949242
hamilton,-37.8758579,145.1284529
hampton,-37.9381127,145.0014764
harcourt,-37.8374349,145.1115353
harpley,-37.9110402,144.6113082
hastings,-38.3056058,145.1859934
hawthorn,-37.8244246,145.0317207
healsville,-37.6635261,145.4817549
