,Suburb,Population,Dwellings,Income,Vehicles_per_Dwelling,Public_Chargers,EV_Count,Distance_km,ETA_min,Avg_Congestion,Charger_to_Pop_Ratio,EVs_per_Public_Charger,Cluster,Cluster_Label,Suburb_clean
0,abbotsford,10294,9364.0,2333.0,1.6,1.0,3.0,3.7434042553191493,7.307191489361703,455.3333333333333,9.714396735962697e-05,2.9999700002999967,1,Moderate Priority Area,abbotsford
1,airport west,8647,3890.0,1761.0,1.7,1.0,16.0,2.175,5.82875,455.3333333333333,0.00011564704521799469,15.999840001599983,1,Moderate Priority Area,airport west
2,albert park,17184,53131.0,2076.0,1.1,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",albert park
3,alphington fairfield,9688,4214.0,2112.0,1.5,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",alphington fairfield
4,altona,14232,40537.0,2123.0,1.8,2.0,13.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0001405283867341203,6.499967500162499,1,Moderate Priority Area,altona
5,altona meadows,18793,7778.0,1573.0,1.8,2.0,13.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.00010642260416112382,6.499967500162499,1,Moderate Priority Area,altona meadows
6,altona north,15914,6367.0,1740.0,1.7,1.0,8.0,3.7434042553191493,7.307191489361703,455.3333333333333,6.283775292195552e-05,7.9999200007999915,1,Moderate Priority Area,altona north
7,ardeer albion,7908,3541.0,1366.0,1.4,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",ardeer albion
8,armadale,9997,36279.0,1774.0,2.0,1.0,4.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.00010003000900270081,3.9999600003999958,1,Moderate Priority Area,armadale
9,ascot vale,16154,7025.0,2192.0,1.5,1.0,30.0,3.7434042553191493,7.307191489361703,455.3333333333333,6.19041723412158e-05,29.99970000299997,1,Moderate Priority Area,ascot vale
10,ashburton,8403,3681.0,2937.0,1.9,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",ashburton
11,ashwood chadstone,20947,8311.0,2011.0,1.7,2.0,2.0,3.7434042553191493,7.307191489361703,455.3333333333333,9.547906621473243e-05,0.9999950000249999,1,Moderate Priority Area,ashwood chadstone
12,aspendale gardens waterways,9099,3009.0,2348.0,2.2,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",aspendale gardens waterways
13,avondale heights,12822,4906.0,1587.0,1.8,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",avondale heights
14,balwyn,16966,7082.0,2017.0,1.7,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",balwyn
15,balwyn north,22325,7858.0,2350.0,2.0,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",balwyn north
16,bayswater,13305,32142.0,1739.0,1.7,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",bayswater
17,bayswater north,12043,4640.0,1800.0,2.0,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",bayswater north
18,beaconsfield officer,28367,8397.0,2146.0,2.1,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",beaconsfield officer
19,beaumaris,14422,5513.0,2622.0,2.0,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",beaumaris
20,belgrave selby,9991,3706.0,2253.0,2.4,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",belgrave selby
21,bentleigh east (north),17553,6387.0,2250.0,1.8,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",bentleigh east (north)
22,bentleigh east (south),14770,5620.0,2173.0,1.8,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",bentleigh east (south)
23,bentleigh mckinnon,26825,10372.0,2240.0,1.7,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",bentleigh mckinnon
24,berwick (north),23797,9194.0,1885.0,2.0,1.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,4.202210362650754e-05,0.0,1,Moderate Priority Area,berwick (north)
25,berwick (south east),20002,5605.0,2361.0,2.2,1.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,4.999500049995001e-05,0.0,1,Moderate Priority Area,berwick (south east)
26,berwick (south west),12791,3717.0,2175.0,2.1,1.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,7.817997029161128e-05,0.0,1,Moderate Priority Area,berwick (south west)
27,blackburn,23471,9134.0,2050.0,1.7,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",blackburn
28,blackburn south,11079,4458.0,1861.0,1.7,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",blackburn south
29,boronia,24565,10160.0,1609.0,1.8,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",boronia
30,box hill,26668,32648.0,1836.0,1.6,1.0,2.0,3.7434042553191493,7.307191489361703,455.3333333333333,3.749812509374531e-05,1.9999800001999979,1,Moderate Priority Area,box hill
31,box hill north,19435,7484.0,1920.0,1.7,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",box hill north
32,braeside,28,27.0,933.0,1.6,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",braeside
33,braybrook,20699,8039.0,1686.0,1.6,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",braybrook
34,brighton,24107,7532.0,1352.0,2.1,1.0,9.0,3.7434042553191493,7.307191489361703,455.3333333333333,4.148172729912474e-05,8.999910000899991,1,Moderate Priority Area,brighton
35,brighton east,17261,6447.0,2720.0,1.9,2.0,18.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.00011586814205434216,8.999955000224999,1,Moderate Priority Area,brighton east
36,broadmeadows,14786,26625.0,1281.0,1.8,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",broadmeadows
37,brookfield,10408,16619.0,2821.0,2.1,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",brookfield
38,brunswick east,14438,7125.0,2087.0,1.2,1.0,4.0,3.7434042553191493,7.307191489361703,455.3333333333333,6.926167059149467e-05,3.9999600003999958,1,Moderate Priority Area,brunswick east
