,NB_SCATS_SITE,QT_INTERVAL_COUNT,NB_DETECTOR,V00,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,NM_REGION,CT_RECORDS,QT_VOLUME_24HOUR,CT_ALARM_24HOUR,Location
0,104,2025-01-01,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,VIC,96,0,96,MAROONDAH/GREEN
1,104,2025-01-01,2,7,6,14,10,17,8,7,5,10,3,6,6,5,1,4,2,4,4,7,4,2,2,4,3,11,8,8,17,12,23,11,28,18,38,33,37,40,49,55,65,82,83,102,77,88,116,103,102,115,103,105,133,143,136,98,120,128,83,95,95,76,85,88,80,63,57,64,61,65,65,60,41,50,49,44,40,33,27,39,37,26,19,21,16,8,25,9,8,12,5,9,6,2,4,2,2,VIC,96,3999,0,MAROONDAH/GREEN
2,104,2025-01-01,3,3,1,5,2,8,4,2,2,5,1,2,2,0,0,3,0,1,0,0,0,1,0,0,1,1,0,1,2,1,1,1,2,0,1,1,0,1,4,3,6,4,5,8,7,4,7,5,8,16,9,9,7,8,11,11,3,5,12,7,11,11,12,8,4,4,9,5,3,3,3,5,4,4,9,2,1,1,2,1,1,2,1,1,0,0,2,1,0,1,1,2,0,0,0,0,0,VIC,96,328,0,MAROONDAH/GREEN
3,104,2025-01-01,4,3,3,0,2,2,4,3,1,2,1,0,0,0,0,1,0,1,2,0,0,0,0,0,1,1,0,0,2,1,1,1,3,3,1,1,0,3,2,8,5,3,4,5,5,7,6,4,8,10,7,7,5,12,8,9,8,13,7,9,4,4,9,10,14,4,4,11,4,9,7,7,5,7,8,4,5,2,5,2,2,3,3,1,0,2,2,0,0,1,0,1,0,0,0,0,1,VIC,96,336,0,MAROONDAH/GREEN
4,104,2025-01-01,5,2,1,1,0,2,2,3,1,1,2,0,1,0,0,1,0,0,1,0,0,1,0,0,0,2,4,0,0,2,1,1,3,2,2,2,2,7,3,8,7,2,4,13,8,17,11,7,10,15,16,12,12,12,7,6,16,14,13,15,13,13,10,14,2,12,7,12,1,9,4,4,13,8,7,11,5,4,6,6,5,3,2,6,3,1,3,0,2,0,0,0,1,1,0,2,0,VIC,96,465,0,MAROONDAH/GREEN
5,104,2025-01-01,6,3,0,1,1,3,0,1,0,2,0,0,0,1,0,2,0,2,0,0,0,0,0,0,1,2,1,2,0,2,0,4,4,2,7,1,9,3,7,8,7,15,11,12,16,8,10,14,19,15,21,13,19,22,18,21,15,28,22,23,21,17,14,17,14,7,15,20,14,8,7,8,10,12,9,15,12,9,6,3,6,5,5,2,5,4,2,4,2,1,1,0,1,0,0,0,0,VIC,96,674,0,MAROONDAH/GREEN
6,104,2025-01-01,7,12,23,12,13,14,8,10,3,11,3,4,1,0,3,3,2,5,3,4,4,0,2,2,3,7,6,8,10,6,11,13,18,14,30,30,37,32,37,48,44,66,52,111,95,87,107,74,128,142,133,120,124,122,127,107,129,139,158,138,158,125,147,130,129,136,106,159,123,131,115,107,115,93,95,110,98,92,79,80,75,82,72,40,32,33,21,19,20,32,16,13,15,6,9,2,5,VIC,96,5475,0,MAROONDAH/GREEN
7,104,2025-01-01,8,8,7,12,11,15,10,7,4,11,4,6,6,5,2,4,2,4,4,7,4,2,2,4,3,12,8,9,18,12,23,14,29,19,39,36,37,42,51,61,73,85,96,110,79,97,123,111,110,129,116,115,143,145,144,110,129,131,98,98,103,84,97,91,76,69,67,63,62,69,73,66,46,56,56,46,42,31,28,37,40,24,20,22,14,8,25,9,8,12,6,11,5,2,4,2,2,VIC,96,4272,0,MAROONDAH/GREEN
8,104,2025-01-01,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VIC,96,0,0,MAROONDAH/GREEN
9,104,2025-01-01,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VIC,96,0,0,MAROONDAH/GREEN
