_id,CD_MAKE_VEH1,CD_CLASS_VEH,NB_YEAR_MFC_VEH,POSTCODE,CD_CL_FUEL_ENG,TOTAL1
2,A B C,2,2021,3076,E,1
60,A G O,2,2024,3217,E,1
84,A MSTR,2,2019,3356,E,1
112,ABARTH,2,2023,3004,E,1
122,ABARTH,2,2023,3011,E,1
137,ABARTH,2,2023,3023,E,1
180,ABARTH,2,2023,3039,E,1
222,ABARTH,2,2024,3057,E,1
338,ABARTH,2,2023,3121,E,5
340,ABARTH,2,2024,3121,E,1
392,ABARTH,2,2023,3142,E,2
416,ABARTH,2,2023,3149,E,1
418,ABARTH,2,2024,3149,E,1
449,ABARTH,2,2023,3166,E,1
488,ABARTH,2,2023,3186,E,1
489,ABARTH,2,2024,3186,E,1
501,ABARTH,2,2023,3192,E,1
534,ABARTH,2,2023,3207,E,2
627,ABARTH,2,2023,3926,E,1
636,ABARTH,2,2023,3931,E,1
647,ABARTH,2,2023,3943,E,1
666,ACE,3,2015,3350,E,1
702,ACE,3,2016,3975,E,1
1017,AGRIA,2,2023,3026,E,2
2066,ALFA R,2,2023,3053,E,1
2127,ALFA R,2,2024,3056,E,1
2254,ALFA R,2,2024,3064,E,2
2703,ALFA R,2,2023,3090,E,1
2740,ALFA R,2,2023,3095,E,1
3150,ALFA R,2,2018,3124,E,1
3463,ALFA R,2,2023,3142,E,1
3482,ALFA R,2,2023,3143,E,1
3551,ALFA R,2,2023,3146,E,1
4044,ALFA R,2,2023,3182,E,1
4665,ALFA R,2,2023,3228,E,1
4807,ALFA R,2,2023,3350,E,1
5961,ALKE,2,2015,3051,E,1
5962,ALKE,2,2015,3058,E,1
6227,AMRCAN,2,2012,3944,E,1
6334,API,3,2024,3046,E,1
6811,APRILI,3,2008,3129,E,1
8867,ASV,2,2023,3216,E,1
9214,AUDI,2,2021,3437,E,1
9273,AUDI,2,2020,3000,E,1
9280,AUDI,2,2023,3000,E,2
9283,AUDI,2,2024,3000,E,1
9286,AUDI,2,2025,3000,E,1
9299,AUDI,2,2023,3000,E,2
9343,AUDI,2,2023,3226,E,1
9427,AUDI,2,2020,3003,E,1
9432,AUDI,2,2023,3003,E,2
9434,AUDI,2,2024,3003,E,1
9436,AUDI,2,2025,3003,E,1
9477,AUDI,2,2023,3004,E,1
9555,AUDI,2,2021,3006,E,1
9600,AUDI,2,2023,3008,E,1
9657,AUDI,2,2024,3011,E,1
9659,AUDI,2,2025,3011,E,1
9711,AUDI,2,2022,3012,E,1
9776,AUDI,2,2025,3013,E,1
9830,AUDI,2,2024,3015,E,1
9832,AUDI,2,2025,3015,E,1
9885,AUDI,2,2024,3016,E,1
9939,AUDI,2,2022,3018,E,1
9942,AUDI,2,2024,3018,E,1
9982,AUDI,2,2022,3019,E,1
10031,AUDI,2,2024,3020,E,1
10170,AUDI,2,2022,3023,E,1
10173,AUDI,2,2023,3023,E,2
10176,AUDI,2,2024,3023,E,2
10281,AUDI,2,2023,3025,E,1
10284,AUDI,2,2024,3025,E,1
10354,AUDI,2,2020,3027,E,1
10446,AUDI,2,2021,3029,E,1
10451,AUDI,2,2023,3029,E,3
10454,AUDI,2,2024,3029,E,1
10458,AUDI,2,2025,3029,E,1
10552,AUDI,2,2023,3030,E,1
10555,AUDI,2,2024,3030,E,1
10630,AUDI,2,2024,3031,E,1
10632,AUDI,2,2025,3031,E,1
10691,AUDI,2,2024,3032,E,1
10748,AUDI,2,2023,3033,E,1
10750,AUDI,2,2024,3033,E,2
10752,AUDI,2,2025,3033,E,1
10875,AUDI,2,2024,3037,E,1
10976,AUDI,2,2022,3039,E,1
10979,AUDI,2,2023,3039,E,1
10983,AUDI,2,2024,3039,E,1
11025,AUDI,2,2015,3040,E,1
11040,AUDI,2,2022,3040,E,1
11043,AUDI,2,2023,3040,E,3
11047,AUDI,2,2025,3040,E,1
11100,AUDI,2,2020,3041,E,1
11105,AUDI,2,2022,3041,E,1
11108,AUDI,2,2023,3041,E,1
11112,AUDI,2,2024,3041,E,1
11161,AUDI,2,2024,3042,E,2
11209,AUDI,2,2023,3043,E,1
11465,AUDI,2,2024,3049,E,1
11591,AUDI,2,2024,3053,E,1
11647,AUDI,2,2024,3054,E,1
11649,AUDI,2,2025,3054,E,1
11696,AUDI,2,2024,3055,E,1
11742,AUDI,2,2023,3056,E,1
11745,AUDI,2,2024,3056,E,1
11846,AUDI,2,2024,3058,E,2
11901,AUDI,2,2021,3059,E,1
11906,AUDI,2,2023,3059,E,1
11958,AUDI,2,2024,3060,E,1
11993,AUDI,2,2021,3061,E,1
12063,AUDI,2,2023,3064,E,4
12125,AUDI,2,2023,3065,E,1
12168,AUDI,2,2020,3066,E,1
12174,AUDI,2,2024,3066,E,1
12223,AUDI,2,2024,3067,E,3
12238,AUDI,2,2023,3122,E,1
12278,AUDI,2,2023,3068,E,1
12282,AUDI,2,2025,3068,E,2
12339,AUDI,2,2022,3070,E,1
12344,AUDI,2,2024,3070,E,1
12346,AUDI,2,2025,3070,E,1
12513,AUDI,2,2024,3073,E,1
12570,AUDI,2,2020,3074,E,1
12629,AUDI,2,2025,3075,E,1
12731,AUDI,2,2024,3078,E,1
12778,AUDI,2,2022,3079,E,2
12781,AUDI,2,2023,3079,E,2
12784,AUDI,2,2024,3079,E,2
12981,AUDI,2,2020,3084,E,1
12986,AUDI,2,2022,3084,E,1
12989,AUDI,2,2023,3084,E,1
12992,AUDI,2,2024,3084,E,2
13050,AUDI,2,2024,3085,E,1
13089,AUDI,2,2025,3087,E,1
13129,AUDI,2,2023,3088,E,1
13331,AUDI,2,2020,3095,E,1
13338,AUDI,2,2023,3095,E,1
13341,AUDI,2,2024,3095,E,1
13438,AUDI,2,2020,3101,E,1
13445,AUDI,2,2023,3101,E,4
13449,AUDI,2,2024,3101,E,3
13453,AUDI,2,2025,3101,E,2
13513,AUDI,2,2024,3102,E,1
13560,AUDI,2,2023,3103,E,1
13563,AUDI,2,2024,3103,E,3
13620,AUDI,2,2024,3104,E,1
13677,AUDI,2,2025,3105,E,1
13720,AUDI,2,2020,3106,E,1
13725,AUDI,2,2022,3106,E,1
13728,AUDI,2,2023,3106,E,2
13734,AUDI,2,2025,3106,E,1
13784,AUDI,2,2022,3107,E,1
13786,AUDI,2,2023,3107,E,1
13838,AUDI,2,2023,3108,E,1
13841,AUDI,2,2024,3108,E,9
13844,AUDI,2,2025,3108,E,3
13906,AUDI,2,2023,3109,E,2
13966,AUDI,2,2023,3111,E,2
13968,AUDI,2,2024,3111,E,1
13970,AUDI,2,2025,3111,E,1
14018,AUDI,2,2023,3113,E,2
14020,AUDI,2,2024,3113,E,2
14085,AUDI,2,2022,3115,E,2
14088,AUDI,2,2023,3115,E,2
14176,AUDI,2,2023,3121,E,2
14179,AUDI,2,2024,3121,E,24
14183,AUDI,2,2025,3121,E,23
14256,AUDI,2,2020,3122,E,1
14263,AUDI,2,2023,3122,E,3
14266,AUDI,2,2024,3122,E,1
14270,AUDI,2,2025,3122,E,1
14328,AUDI,2,2022,3123,E,1
14332,AUDI,2,2024,3123,E,1
14347,AUDI,2,2020,3123,E,1
14399,AUDI,2,2023,3124,E,2
14401,AUDI,2,2024,3124,E,4
14404,AUDI,2,2025,3124,E,1
14468,AUDI,2,2023,3125,E,4
14471,AUDI,2,2024,3125,E,11
14475,AUDI,2,2025,3125,E,1
14562,AUDI,2,2020,3127,E,1
14569,AUDI,2,2023,3127,E,2
14573,AUDI,2,2024,3127,E,1
14575,AUDI,2,2025,3127,E,2
14594,AUDI,2,2024,3127,E,1
14638,AUDI,2,2024,3128,E,1
14641,AUDI,2,2025,3128,E,1
14765,AUDI,2,2023,3130,E,1
14824,AUDI,2,2024,3131,E,2
14867,AUDI,2,2022,3132,E,1
14921,AUDI,2,2021,3133,E,1
14930,AUDI,2,2025,3133,E,1
14987,AUDI,2,2025,3134,E,2
15037,AUDI,2,2024,3135,E,1
15039,AUDI,2,2025,3135,E,2
15089,AUDI,2,2024,3136,E,1
15179,AUDI,2,2025,3138,E,1
15249,AUDI,2,2024,3140,E,1
15301,AUDI,2,2020,3141,E,1
15308,AUDI,2,2023,3141,E,4
15313,AUDI,2,2025,3141,E,1
15386,AUDI,2,2022,3142,E,1
15389,AUDI,2,2023,3142,E,1
15448,AUDI,2,2023,3143,E,1
15451,AUDI,2,2024,3143,E,1
15510,AUDI,2,2020,3144,E,1
15513,AUDI,2,2021,3144,E,1
15516,AUDI,2,2022,3144,E,1
15522,AUDI,2,2024,3144,E,1
15583,AUDI,2,2022,3145,E,1
15586,AUDI,2,2023,3145,E,2
15588,AUDI,2,2024,3145,E,1
15592,AUDI,2,2025,3145,E,1
15654,AUDI,2,2021,3146,E,1
15657,AUDI,2,2022,3146,E,2
15663,AUDI,2,2024,3146,E,4
15666,AUDI,2,2025,3146,E,1
15722,AUDI,2,2023,3147,E,1
15724,AUDI,2,2024,3147,E,2
15726,AUDI,2,2025,3147,E,1
15766,AUDI,2,2021,3148,E,1
15770,AUDI,2,2024,3148,E,1
15817,AUDI,2,2023,3149,E,1
15884,AUDI,2,2021,3150,E,1
15889,AUDI,2,2023,3150,E,1
15892,AUDI,2,2024,3150,E,2
15962,AUDI,2,2023,3151,E,1
15965,AUDI,2,2024,3151,E,1
16070,AUDI,2,2023,3153,E,1
16177,AUDI,2,2021,3156,E,1
16184,AUDI,2,2024,3156,E,1
16319,AUDI,2,2020,3161,E,1
16324,AUDI,2,2022,3161,E,1
16327,AUDI,2,2023,3161,E,1
16330,AUDI,2,2024,3161,E,2
16332,AUDI,2,2025,3161,E,1
16382,AUDI,2,2022,3162,E,1
16385,AUDI,2,2023,3162,E,2
16388,AUDI,2,2024,3162,E,1
16525,AUDI,2,2024,3165,E,1
16645,AUDI,2,2023,3167,E,1
16760,AUDI,2,2025,3169,E,1
16811,AUDI,2,2024,3170,E,5
16815,AUDI,2,2025,3170,E,1
16914,AUDI,2,2022,3172,E,1
16920,AUDI,2,2025,3172,E,1
16970,AUDI,2,2023,3173,E,2
17090,AUDI,2,2022,3175,E,1
17093,AUDI,2,2023,3175,E,1
17096,AUDI,2,2024,3175,E,3
17203,AUDI,2,2024,3178,E,4
17332,AUDI,2,2025,3181,E,1
17408,AUDI,2,2023,3182,E,2
17474,AUDI,2,2023,3183,E,1
17476,AUDI,2,2024,3183,E,1
17524,AUDI,2,2021,3184,E,1
17530,AUDI,2,2024,3184,E,2
17582,AUDI,2,2022,3185,E,1
17586,AUDI,2,2024,3185,E,3
17595,AUDI,2,2015,3184,E,1
17641,AUDI,2,2020,3186,E,1
