_id,cluster
6880d7a7411f5786f79118c9,3
6880d7a7411f5786f79118ca,3
6880d7a7411f5786f79118cb,3
6880d7a7411f5786f79118cc,3
6880d7a7411f5786f79118cd,1
6880d7a7411f5786f79118ce,3
6880d7a7411f5786f79118cf,1
6880d7a7411f5786f79118d0,1
6880d7a7411f5786f79118d1,1
6880d7a7411f5786f79118d2,3
6880d7a7411f5786f79118d3,1
6880d7a7411f5786f79118d4,1
6880d7a7411f5786f79118d5,1
6880d7a7411f5786f79118d6,3
6880d7a7411f5786f79118d7,3
6880d7a7411f5786f79118d8,3
6880d7a7411f5786f79118d9,3
6880d7a7411f5786f79118da,3
6880d7a7411f5786f79118db,3
6880d7a7411f5786f79118dc,3
6880d7a7411f5786f79118dd,3
6880d7a7411f5786f79118de,3
6880d7a7411f5786f79118df,3
6880d7a7411f5786f79118e0,3
6880d7a7411f5786f79118e1,1
6880d7a7411f5786f79118e2,3
6880d7a7411f5786f79118e3,3
6880d7a7411f5786f79118e4,1
6880d7a7411f5786f79118e5,1
6880d7a7411f5786f79118e6,3
6880d7a7411f5786f79118e7,3
6880d7a7411f5786f79118e8,3
6880d7a7411f5786f79118e9,3
6880d7a7411f5786f79118ea,3
6880d7a7411f5786f79118eb,3
6880d7a7411f5786f79118ec,3
6880d7a7411f5786f79118ed,3
6880d7a7411f5786f79118ee,3
6880d7a7411f5786f79118ef,3
6880d7a7411f5786f79118f0,3
6880d7a7411f5786f79118f1,3
6880d7a7411f5786f79118f2,2
6880d7a7411f5786f79118f3,3
6880d7a7411f5786f79118f4,3
6880d7a7411f5786f79118f5,3
6880d7a7411f5786f79118f6,3
6880d7a7411f5786f79118f7,3
6880d7a7411f5786f79118f8,3
6880d7a7411f5786f79118f9,3
6880d7a7411f5786f79118fa,3
6880d7a7411f5786f79118fb,3
6880d7a7411f5786f79118fc,3
6880d7a7411f5786f79118fd,3
6880d7a7411f5786f79118fe,3
6880d7a7411f5786f79118ff,1
6880d7a7411f5786f7911900,1
6880d7a7411f5786f7911901,3
6880d7a7411f5786f7911902,2
6880d7a7411f5786f7911903,1
6880d7a7411f5786f7911904,3
6880d7a7411f5786f7911905,3
6880d7a7411f5786f7911906,3
6880d7a7411f5786f7911907,3
6880d7a7411f5786f7911908,3
6880d7a7411f5786f7911909,1
6880d7a7411f5786f791190a,3
6880d7a7411f5786f791190b,3
6880d7a7411f5786f791190c,3
6880d7a7411f5786f791190d,3
6880d7a7411f5786f791190e,3
6880d7a7411f5786f791190f,3
6880d7a7411f5786f7911910,2
6880d7a7411f5786f7911911,3
6880d7a7411f5786f7911912,2
6880d7a7411f5786f7911913,3
6880d7a7411f5786f7911914,3
6880d7a7411f5786f7911915,3
6880d7a7411f5786f7911916,3
6880d7a7411f5786f7911917,3
6880d7a7411f5786f7911918,3
6880d7a7411f5786f7911919,0
6880d7a7411f5786f791191a,0
6880d7a7411f5786f791191b,3
6880d7a7411f5786f791191c,3
6880d7a7411f5786f791191d,1
6880d7a7411f5786f791191e,3
6880d7a7411f5786f791191f,3
6880d7a7411f5786f7911920,1
6880d7a7411f5786f7911921,3
6880d7a7411f5786f7911922,3
6880d7a7411f5786f7911923,1
6880d7a7411f5786f7911924,3
6880d7a7411f5786f7911925,3
6880d7a7411f5786f7911926,3
6880d7a7411f5786f7911927,3
6880d7a7411f5786f7911928,3
6880d7a7411f5786f7911929,2
6880d7a7411f5786f791192a,3
6880d7a7411f5786f791192b,3
6880d7a7411f5786f791192c,3
6880d7a7411f5786f791192d,3
6880d7a7411f5786f791192e,3
6880d7a7411f5786f791192f,3
6880d7a7411f5786f7911930,3
6880d7a7411f5786f7911931,3
6880d7a7411f5786f7911932,3
6880d7a7411f5786f7911933,3
6880d7a7411f5786f7911934,1
6880d7a7411f5786f7911935,3
6880d7a7411f5786f7911936,1
6880d7a7411f5786f7911937,3
6880d7a7411f5786f7911938,3
6880d7a7411f5786f7911939,3
6880d7a7411f5786f791193a,3
6880d7a7411f5786f791193b,1
6880d7a7411f5786f791193c,3
6880d7a7411f5786f791193d,0
6880d7a7411f5786f791193e,1
6880d7a7411f5786f791193f,3
6880d7a7411f5786f7911940,3
6880d7a7411f5786f7911941,1
6880d7a7411f5786f7911942,1
6880d7a7411f5786f7911943,3
6880d7a7411f5786f7911944,1
6880d7a7411f5786f7911945,1
6880d7a7411f5786f7911946,3
6880d7a7411f5786f7911947,3
6880d7a7411f5786f7911948,3
6880d7a7411f5786f7911949,3
6880d7a7411f5786f791194a,3
6880d7a7411f5786f791194b,0
6880d7a7411f5786f791194c,1
6880d7a7411f5786f791194d,3
6880d7a7411f5786f791194e,0
6880d7a7411f5786f791194f,3
6880d7a7411f5786f7911950,3
6880d7a7411f5786f7911951,0
6880d7a7411f5786f7911952,3
6880d7a7411f5786f7911953,3
6880d7a7411f5786f7911954,3
6880d7a7411f5786f7911955,3
6880d7a7411f5786f7911956,3
6880d7a7411f5786f7911957,3
6880d7a7411f5786f7911958,3
6880d7a7411f5786f7911959,3
6880d7a7411f5786f791195a,1
6880d7a7411f5786f791195b,3
6880d7a7411f5786f791195c,3
6880d7a7411f5786f791195d,3
6880d7a7411f5786f791195e,1
6880d7a7411f5786f791195f,3
6880d7a7411f5786f7911960,3
6880d7a7411f5786f7911961,3
6880d7a7411f5786f7911962,3
6880d7a7411f5786f7911963,3
6880d7a7411f5786f7911964,3
6880d7a7411f5786f7911965,3
6880d7a7411f5786f7911966,1
6880d7a7411f5786f7911967,3
6880d7a7411f5786f7911968,3
6880d7a7411f5786f7911969,3
6880d7a7411f5786f791196a,3
6880d7a7411f5786f791196b,3
6880d7a7411f5786f791196c,3
6880d7a7411f5786f791196d,2
6880d7a7411f5786f791196e,1
6880d7a7411f5786f791196f,1
6880d7a7411f5786f7911970,1
6880d7a7411f5786f7911971,3
6880d7a7411f5786f7911972,3
6880d7a7411f5786f7911973,1
6880d7a7411f5786f7911974,3
6880d7a7411f5786f7911975,1
6880d7a7411f5786f7911976,1
6880d7a7411f5786f7911977,3
6880d7a7411f5786f7911978,3
6880d7a7411f5786f7911979,1
6880d7a7411f5786f791197a,0
6880d7a7411f5786f791197b,3
6880d7a7411f5786f791197c,3
6880d7a7411f5786f791197d,3
6880d7a7411f5786f791197e,3
6880d7a7411f5786f791197f,3
6880d7a7411f5786f7911980,3
6880d7a7411f5786f7911981,3
6880d7a7411f5786f7911982,1
6880d7a7411f5786f7911983,3
