timestamp,weekly_km,trip_length,driving_frequency,driving_type,road_trips,car_ownership,fuel_efficiency,monthly_fuel_spend,home_charging,solar_panels,charging_preference,budget,priorities,postcode,cluster
23/08/2025 7:42,71,Mostly short trips (<10 km),Daily,Mostly inner-city or suburban driving (short distances/stop-start traffic),No,Yes - Petrol,8.2,24.69,No,No,Public stations,">$80,000","Environmental impact, Performance",3951,3
3/08/2025 9:28,42,Mostly short trips (<10 km),A few times a week,Mostly inner-city or suburban driving (short distances/stop-start traffic),No,Yes - Electric,0,12.08,Yes,No,Work,">$80,000","Cost savings, Performance",3053,3
3/08/2025 12:42,39,Mostly short trips (<10 km),A few times a week,Mostly inner-city or suburban driving (short distances/stop-start traffic),No,Yes - Petrol,8.1,37.16,Yes,Yes,Public stations,">$80,000","Brand reputation, Performance",3157,3
13/08/2025 0:12,93,Mostly medium trips (10-50 km),A few times a week,A mix of city/suburban and highway driving,Yes,Yes - Petrol,8.5,51.96,No,No,Home,"<$40,000","Charging convenience, Tech features",3177,3
29/07/2025 5:36,206,Mostly medium trips (10-50 km),Daily,A mix of city/suburban and highway driving,No,Yes - Diesel,5.7,59.5,Yes,No,Home,"$60,000 -$80,000","Environmental impact, Cost savings",3546,1
28/07/2025 10:34,16,Mostly short trips (<10 km),Weekly,Mostly inner-city or suburban driving (short distances/stop-start traffic),No,Yes - Petrol,9.8,22.5,Yes,No,Home,">$80,000","Charging convenience, Environmental impact",3213,3
29/07/2025 21:08,205,Mostly medium trips (10-50 km),Daily,Mostly highway or regional driving (longer distances/higher speeds),Yes,Yes - Hybrid,4.4,53.13,No,No,Home,"<$40,000","Performance, Cost savings",3145,1
22/08/2025 0:32,208,Mostly medium trips (10-50 km),Daily,Mostly highway or regional driving (longer distances/higher speeds),No,Yes - Hybrid,5.4,87.35,Yes,Yes,Home,Not sure/ Just exploring,"Cost savings, Environmental impact",3060,1
12/08/2025 7:06,220,Mostly long trips (>50 km),A few times a week,Mostly rural or remote area driving (long distances/variable road conditions),No,Yes - Diesel,6.2,84.02,No,No,Home,Not sure/ Just exploring,"Tech features, Environmental impact",3629,1
24/08/2025 10:45,68,Mostly short trips (<10 km),Daily,Mostly inner-city or suburban driving (short distances/stop-start traffic),No,Yes - Petrol,9.9,69.36,Yes,Yes,Public stations,"$40,000-$60,000","Cost savings, Environmental impact",3221,3
