Name,Status,PowerKW,ConnectionType,Latitude,Longitude,reliability_score
Shell Coles Express Taylors Lakes,Operational,350.0,CCS (Type 2),-37.69674197545634,144.78205236033568,100.0
Heatherton Road,Operational,350.0,CCS (Type 2),-37.97128123711468,145.2236965774951,100.0
Tesla Supercharger South Melbourne,Operational,250.0,CCS (Type 2),-37.83227022248282,144.9609633571161,88.57142857142857
Tesla Supercharger Campbellfield,Operational,250.0,CCS (Type 2),-37.68912458660884,144.95662465559099,88.57142857142857
Telsa Supercharger Box Hill,Operational,250.0,CCS (Type 2),-37.837816422984424,145.1346849142019,88.57142857142857
Tesla Supercharger Oakleigh Repair Centre,Operational,250.0,CCS (Type 2),-37.91568317695367,145.10327868938475,88.57142857142857
Tesla Supercharger Brighton East,Operational,250.0,CCS (Type 2),-37.907528089556905,145.01117779850802,88.57142857142857
Abbotsford Supercharger ,Operational,250.0,CCS (Type 2),-37.809084572181135,144.99588508312934,88.57142857142857
Mornington Super Charger,Operational,250.0,CCS (Type 2),-38.23466432711377,145.05094693515247,88.57142857142857
Ampol Foodary Altona North,Operational,180.0,CCS (Type 2),-37.846404,144.808531,80.57142857142857
Bridge Street,Operational,180.0,CCS (Type 2),-37.94495495500977,145.00192929573643,80.57142857142857
Ampol Derrimut,Operational,180.0,CCS (Type 2),-37.80519464533884,144.75198926317552,80.57142857142857
Ampcharge Sandown,Operational,180.0,CCS (Type 2),-37.94161999001956,145.16671110078272,80.57142857142857
Ampcharge Cheltenham,Operational,180.0,CCS (Type 2),-37.99571529046778,145.182222569087,80.57142857142857
Ampcharge Werribee,Operational,180.0,CCS (Type 2),-37.899759968148494,144.6650849021937,80.57142857142857
BP Northpoint,Operational,150.0,CCS (Type 2),-37.64768,144.99461,77.14285714285714
Ampcharge Barkly Square,Operational,150.0,CCS (Type 2),-37.776585212413124,144.9639271835984,77.14285714285714
BP Pulse,Operational,150.0,CCS (Type 2),-37.7557555131601,144.7410636793341,77.14285714285714
Ampol Kilsyth,Operational,150.0,CCS (Type 2),-37.82365941817221,145.2959481777906,77.14285714285714
