Name,Status,Latitude,Longitude,Address,PowerKW,ConnectionType
RMIT - City Campus,Operational,-37.80624795114712,144.96401596254236,17-21 Cardigan Street,75.0,CCS (Type 2)
Lorbek Luxury Cars,Operational,-37.821362270898675,144.95148061129817,30 Prohasky Street,11.0,Type 2 (Tethered Connector) 
Tesla Supercharger South Melbourne,Operational,-37.83227022248282,144.9609633571161,Clarendon Street,250.0,CCS (Type 2)
Collingwood Library,Operational,-37.80446562888998,144.99324369474311,13 Stanton St,50.0,CCS (Type 2)
Abbotsford Supercharger ,Operational,-37.809084572181135,144.99588508312934,"313 Victoria Street, Abbotsford Victoria Australia 3067",250.0,CCS (Type 2)
JET Charge Office,Operational,-37.82858393063794,144.93443851602245,350 Bridge Street,80.0,CHAdeMO
Evie Richmond Library,Operational,-37.825531454943984,144.99874510755922,Swan Street,50.0,CCS (Type 2)
650 Church Street Building 5,Operational,-37.8318863645605,144.995866953165,Church Street,120.0,CCS (Type 2)
Woolworths Fishermans Bend,Operational,-37.8313475403691,144.92982685129846,Plumber Street,50.0,CCS (Type 2)
Middy’s Port Melbourne,Operational,-37.82819,144.925654,2 Thackray Road,25.0,CCS (Type 2)
Ampcharge Barkly Square,Operational,-37.776585212413124,144.9639271835984,Barkly Street,150.0,CCS (Type 2)
ENGIE - VIctoria Gardens,Operational,-37.81230000849669,145.01104431147348,620 Victoria St,100.0,CHAdeMO
GET Electric Head Office,Operational,-37.83334808033666,144.92004965602666,327 Plummer Street,11.0,Type 2 (Socket Only)
Brunswick EV Hub,Operational,-37.77388003814904,144.961800631472,15 Edward Street,80.0,CCS (Type 2)
David Street Car Park,Operational,-37.771645139851486,144.96173089792444,1 David St,22.0,Type 2 (Socket Only)
RMIT Brunswick,Operational,-37.7716796666272,144.95818485880557,25 Dawson St,22.0,Type 2 (Socket Only)
Fleming Park,Operational,-37.769132479580406,144.9747860386588,4 -6 Cross St,7.0,Type 2 (Socket Only)
The Parade Ascot Vale Car Park,Operational,-37.772547,144.915133,66-68 The Parade,50.0,CHAdeMO
Moonee Ponds,Operational,-37.765834,144.923586,Moonee Ponds,120.0,CCS (Type 2)
Moonee Ponds Central,Operational,-37.76583087874345,144.92352649174768,14 - 16 Hall St,22.0,Type 1 (J1772)
St Kilda Town Hall,Operational,-37.8682677,144.9895699,164 Carlisle Street,3.5,Type 2 (Socket Only)
Swinburne University - TC Building,Operational,-37.820026,145.040303,Falmouth Street,50.0,CCS (Type 2)
City of Stonnington,Operational,-37.8558376330929,145.0295635713096,290 Glenferrie Road,50.0,CCS (Type 2)
Malvern Central,Operational,-37.862429,145.027453,122 Wattletree Rd,50.0,CCS (Type 2)
Coburg Civic Centre / Moreland City,Operational,-37.74104152020631,144.9701497464091,90 Bell Street,50.0,CCS (Type 2)
Coburg Town Hall / Moreland City,Operational,-37.74066654517114,144.96967301950258,Bell Street,7.0,Type 2 (Socket Only)
Camberwell Supercharger,Operational,-37.828482,145.056346,793 Burke Road,120.0,CCS (Type 2)
Monash Caufield,Operational,-37.87609755140018,145.0437890823424,880 Dandenong Rd,50.0,CCS (Type 2)
Bayside Gateway,Operational,-37.900527,145.00702,301-307 Nepean Hwy,75.0,CHAdeMO
Austin Tower Carpark Level B1,Operational,-37.75745813437603,145.05918510936715,145 Studley Road,22.0,Type 2 (Socket Only)
Coburg North EV Fast Charge,Operational,-37.71893760420672,144.9615007076203,11 Boundary Road,50.0,CCS (Type 2)
Oak Park Sports & Aquatic Centre,Operational,-37.7234502505038,144.92111987538624,563 Pascoe Vale Road,22.0,Type 2 (Socket Only)
Bayside Willansby Ave,Operational,-37.90610169777272,145.00363488616335,47 Willansby Ave,50.0,CCS (Type 2)
Woolworths Heidelberg,Operational,-37.75910544295768,145.06876762326635,451 Lower Heidelberg Road,44.0,CCS (Type 2)
Tesla Supercharger Brighton East,Operational,-37.907528089556905,145.01117779850802,Hope Street,250.0,CCS (Type 2)
Toyota Altona,Operational,-37.832781169763166,144.82753568527227,Grieve Parade,75.0,CCS (Type 2)
CB Smith Reserve,Operational,-37.70252995850394,144.9695198384195,99 Jukes Road,25.0,CCS (Type 2)
Hobsons Bay Civic Centre,Operational,-37.864138,144.829593,115 Civic Parade,50.0,CCS (Type 2)
Chargefox Airport West,Operational,-37.71364567547256,144.88569078594128,29-35 Louis St,50.0,CHAdeMO
Chadstone Shopping Centre,Operational,-37.884974305769425,145.08243117285895,1341 Dandenong Rd,7.0,Type 2 (Socket Only)
ENGIE - Chadstone,Operational,-37.884370226319035,145.08316779641655,1341 Dandenong Rd,100.0,CCS (Type 2)
ENGIE - Chadstone 2,Operational,-37.88820940951108,145.08494077130194,Dandenong Road,120.0,CCS (Type 2)
Tesla Supercharger Campbellfield,Operational,-37.68912458660884,144.95662465559099,Camp Road,250.0,CCS (Type 2)
Ampol Foodary Altona North,Operational,-37.846404,144.808531,1 Horsburgh Drive,180.0,CCS (Type 2)
Bridge Street,Operational,-37.94495495500977,145.00192929573643,Bridge Street,180.0,CCS (Type 2)
Telsa Supercharger Box Hill,Operational,-37.837816422984424,145.1346849142019,Ailsa Street,250.0,CCS (Type 2)
Evie Glen Gala Village,Operational,-37.79308442111111,144.7896023171707,Fitzgerald Road,75.0,CCS (Type 2)
Miller Grove,Operational,-37.875016711913474,145.128081929617,Miller Grove,22.0,CCS (Type 2)
Keilor Central,Operational,-37.726166090249,144.80818393376683,80 Taylors Road,50.0,CCS (Type 2)
Tesla Supercharger Oakleigh Repair Centre,Operational,-37.91568317695367,145.10327868938475,Huntingdale Road,250.0,CCS (Type 2)
Bayside Council,Operational,-37.95937215569076,145.01794753966965,76 Royal Ave,75.0,CCS (Type 2)
Jolt Cheltenham,Operational,-37.95675410011873,145.0413433811873,Bay Road,50.0,CCS (Type 2)
Uni Hill Town Centre,Operational,-37.682971406829196,145.07101659256762,19 Graduate Drive,50.0,CCS (Type 2)
Greensborough Plaza,Operational,-37.7021622916574,145.102334661124,25 Main St,22.0,Type 2 (Tethered Connector) 
Watermarc Carpark (LG),Operational,-37.70397622211952,145.10521824749753,Greensborough Walk,11.0,Type 2 (Socket Only)
Forest Hill Chase Shopping Centre,Operational,-37.835025723717706,145.1632775004582,Pacific Way,22.0,Type 2 (Socket Only)
Brimbank Shopping Centre,Operational,-37.751176222078364,144.77432972140224,28-72 Neale Road,22.0,Type 2 (Socket Only)
Southland Medical Centre,Operational,-37.958611,145.057267,50 Chesterville rd,,
