OBJECTID,Statistical Areas Level 2 2021 code,Statistical Areas Level 2 2021 name,Area in square kilometres,Uniform Resource Identifier,The base year for projected persons (2022),Projected persons (2023),Projected persons (2024),Projected persons (2025),Projected persons (2026),Projected persons (2027),Projected persons (2028),Projected persons (2029),Projected persons (2030),Projected persons (2031),Projected persons (2032),The base year for annual population change (2022),Annual population change (2023),Annual population change (2024),Annual population change (2025),Annual population change (2026),Annual population change (2027),Annual population change (2028),Annual population change (2029),Annual population change (2030),Annual population change (2031),Annual population change (2032),The base year for population change (2022),Relative population change (2023),Relative population change (2024),Relative population change (2025),Relative population change (2026),Relative population change (2027),Relative population change (2028),Relative population change (2029),Relative population change (2030),Relative population change (2031),Relative population change (2032),The base year for percentage annual population change (2022),Percentage annual population change (2023),Percentage annual population change (2024),Percentage annual population change (2025),Percentage annual population change (2026),Percentage annual population change (2027),Percentage annual population change (2028),Percentage annual population change (2029),Percentage annual population change (2030),Percentage annual population change (2031),Percentage annual population change (2032),The base year for percentage relative population change (2022),Percentage relative population change (2023),Percentage relative population change (2024),Percentage relative population change (2025),Percentage relative population change (2026),Percentage relative population change (2027),Percentage relative population change (2028),Percentage relative population change (2029),Percentage relative population change (2030),Percentage relative population change (2031),Percentage relative population change (2032),globalid,Shape__Area,Shape__Length
1,101021007,Braidwood,3418.3525,https://linked.data.gov.au/dataset/asgsed3/SA2/101021007,4366,4443,4518,4589,4654,4716,4780,4844,4909,4974,5037,0,77,75,71,65,62,64,64,65,65,63,0,77,152,223,288,350,414,478,543,608,671,0,1.763628,1.688049,1.571492,1.416431,1.332187,1.357082,1.338912,1.341866,1.324099,1.266586,0,1.763628,3.481448,5.10765,6.596427,8.016491,9.482364,10.948236,12.437013,13.92579,15.368759,11873bd6-71fd-46c4-9f03-8de11524c460,0.339396982400558,3.91369435008934
2,101021008,Karabar,6.9825,https://linked.data.gov.au/dataset/asgsed3/SA2/101021008,8528,8588,8637,8682,8719,8744,8770,8800,8830,8859,8890,0,60,49,45,37,25,26,30,30,29,31,0,60,109,154,191,216,242,272,302,331,362,0,0.703565,0.570564,0.521014,0.426169,0.28673,0.297347,0.342075,0.340909,0.328426,0.349927,0,0.703565,1.278143,1.805816,2.239681,2.532833,2.837711,3.189493,3.541276,3.881332,4.244841,29157901-8b08-41d7-86e5-57afad56af55,0.000692573608375824,0.138641935685031
3,101021009,Queanbeyan,4.762,https://linked.data.gov.au/dataset/asgsed3/SA2/101021009,11390,11630,11853,12086,12328,12571,12822,13073,13325,13584,13843,0,240,223,233,242,243,251,251,252,259,259,0,240,463,696,938,1181,1432,1683,1935,2194,2453,0,2.107112,1.917455,1.965747,2.002317,1.971123,1.996659,1.957573,1.927637,1.943715,1.906655,0,2.107112,4.064969,6.110623,8.235294,10.368745,12.572432,14.776119,16.988586,19.262511,21.536435,4d64396b-9634-4633-bf09-ee5e8e90bbc8,0.000472213498142082,0.107150167045716
4,101021010,Queanbeyan - East,13.0032,https://linked.data.gov.au/dataset/asgsed3/SA2/101021010,5090,5197,5294,5391,5486,5580,5674,5773,5873,5972,6071,0,107,97,97,95,94,94,99,100,99,99,0,107,204,301,396,490,584,683,783,882,981,0,2.102161,1.866461,1.832263,1.762196,1.713452,1.684588,1.744801,1.732202,1.68568,1.657736,0,2.102161,4.007859,5.913556,7.779961,9.626719,11.473477,13.418468,15.383104,17.328094,19.273084,bd7126f6-8af2-438d-b3dc-32cb9a387e1a,0.0012895043005301,0.189549065008771
5,101021012,Queanbeyan West - Jerrabomberra,13.6748,https://linked.data.gov.au/dataset/asgsed3/SA2/101021012,12779,12914,13025,13125,13220,13289,13362,13436,13513,13591,13668,0,135,111,100,95,69,73,74,77,78,77,0,135,246,346,441,510,583,657,734,812,889,0,1.056421,0.859532,0.767754,0.72381,0.521936,0.549327,0.553809,0.573087,0.577222,0.566551,0,1.056421,1.925033,2.707567,3.450974,3.990923,4.562172,5.141247,5.743798,6.354175,6.956726,0603534a-f2b8-45b3-9cd5-71e1b39a7ffa,0.00135637771154506,0.193368205884951
6,101021610,Googong,6.9164,https://linked.data.gov.au/dataset/asgsed3/SA2/101021610,6748,7640,8502,9327,10107,10834,11567,12307,13055,13807,14561,0,892,862,825,780,727,733,740,748,752,754,0,892,1754,2579,3359,4086,4819,5559,6307,7059,7813,0,13.218731,11.282723,9.703599,8.362818,7.193035,6.765737,6.39751,6.077842,5.760245,5.460998,0,13.218731,25.992887,38.218731,49.777712,60.551274,71.413752,82.379964,93.46473,104.608773,115.782454,5e9c7020-4032-455c-8f98-24e45471f128,0.000686484952893807,0.110633602836431
7,101021611,Queanbeyan Surrounds,3047.7057,https://linked.data.gov.au/dataset/asgsed3/SA2/101021611,16864,17167,17460,17752,18049,18332,18617,18905,19197,19492,19788,0,303,293,292,297,283,285,288,292,295,296,0,303,596,888,1185,1468,1753,2041,2333,2628,2924,0,1.796727,1.706763,1.672394,1.673051,1.567954,1.554659,1.546973,1.544565,1.536698,1.518572,0,1.796727,3.534156,5.265655,7.026803,8.704934,10.394924,12.102704,13.834203,15.583491,17.33871,a8c23549-b542-450f-9ee0-6dab1423548a,0.302555689392648,4.39506930327561
8,101031013,Bombala,3990.144,https://linked.data.gov.au/dataset/asgsed3/SA2/101031013,2467,2486,2504,2519,2536,2551,2564,2578,2591,2604,2618,0,19,18,15,17,15,13,14,13,13,14,0,19,37,52,69,84,97,111,124,137,151,0,0.770166,0.724055,0.599042,0.674871,0.591483,0.509604,0.546022,0.504267,0.501737,0.537634,0,0.770166,1.499797,2.107823,2.796919,3.404945,3.931901,4.499392,5.026348,5.553304,6.120794,4634f308-b45d-46a2-82c4-f9e0f47e4ddc,0.403289665011471,4.56417828447938
9,101031014,Cooma,103.6371,https://linked.data.gov.au/dataset/asgsed3/SA2/101031014,6670,6713,6736,6751,6755,6749,6740,6732,6724,6717,6710,0,43,23,15,4,-6,-9,-8,-8,-7,-7,0,43,66,81,85,79,70,62,54,47,40,0,0.644678,0.342619,0.222684,0.05925,-0.088823,-0.133353,-0.118694,-0.118835,-0.104105,-0.104213,0,0.644678,0.989505,1.214393,1.274363,1.184408,1.049475,0.929535,0.809595,0.704648,0.5997,62c4c31e-6e45-4fa7-8e94-4e5699c59609,0.0103915497975322,0.544648729404326
10,101031015,Cooma Surrounds,6251.0158,https://linked.data.gov.au/dataset/asgsed3/SA2/101031015,3505,3530,3553,3577,3600,3620,3640,3662,3686,3710,3733,0,25,23,24,23,20,20,22,24,24,23,0,25,48,72,95,115,135,157,181,205,228,0,0.713267,0.651558,0.675486,0.642997,0.555556,0.552486,0.604396,0.65538,0.651112,0.619946,0,0.713267,1.369472,2.054208,2.710414,3.281027,3.851641,4.479315,5.164051,5.848787,6.504993,4a4264db-2a9e-49c2-91b4-12b1dc6aae82,0.625819941174541,7.16623611491503
