name,address,latitude,longitude,score,geometry
ChargeHub,"65 Eleanor Drive, Lucas, VIC, 3350",-37.544906,143.776381,1.213516593,POINT (143.776381 -37.544906)
Tesla,"6 Coltman Plaza, Lucas, VIC, 3350",-37.542959,143.784769,1.212915659,POINT (143.784769 -37.542959)
Exploren,"Gillies St, Ballarat, VIC, 3355",-37.539811,143.822108,1.2082179785,POINT (143.822108 -37.539811)
Tesla,"333 Gillies Street North, Ballarat, VIC, 3355",-37.534594,143.822667,1.2080379725,POINT (143.822667 -37.534594)
ChargeFox,"Gillies St N, Ballarat, VIC, 3355",-37.535163,143.823717,1.2078744173,POINT (143.823717 -37.535163)
ChargeFox,"330 Heinz Lane, Ballarat, VIC, 3350",-37.527901,143.857797,1.2006021738,POINT (143.857797 -37.527901)
Tesla,"814 Lydiard Street North, Ballarat, VIC, 3350",-37.562762,143.857347,1.2002699375,POINT (143.857347 -37.562762)
ChargeFox,"22 Grant Street, Ballarat, VIC, 3350",-37.56709,143.857413,1.1999028921,POINT (143.857413 -37.56709)
ChargeFox,"61 Curtis Street, Ballarat, VIC, 3350",-37.561314,143.862292,1.199172616,POINT (143.862292 -37.561314)
ChargeFox,"Mazumdar Dr, Ballarat, VIC, 3350",-37.627852,143.891149,1.1799362898,POINT (143.891149 -37.627852)
Evie,"9395 Western Highway, Warrenheip, VIC, 3352",-37.564495,143.934589,1.1767866611,POINT (143.934589 -37.564495)
ChargeFox,"1500 Midland Highway, Creswick, VIC, 3363",-37.443855,143.890554,1.1767495871,POINT (143.890554 -37.443855)
EVUp,"410 Warrenheip Street, Ballarat, VIC, 3357",-37.649185,143.884224,1.1754277945,POINT (143.884224 -37.649185)
ChargeFox,"41-43 Albert Street, Creswick, VIC, 3363",-37.422472,143.894559,1.1687277555,POINT (143.894559 -37.422472)
EVUp,"1A Cameron Street, Clunes, VIC, 3370",-37.293051,143.786075,1.1249446869,POINT (143.786075 -37.293051)
Evie,"19 Willoby Street, Beaufort, VIC, 3373",-37.428843,143.38296,1.0939763784,POINT (143.38296 -37.428843)
Tesla,"23A King Street, Daylesford, VIC, 3460",-37.351031,144.141166,1.0707720518,POINT (144.141166 -37.351031)
Tesla,"4 King Street, Daylesford, VIC, 3460",-37.349104,144.141044,1.0704020262,POINT (144.141044 -37.349104)
ChargeFox,"76 Vincent Street, Daylesford, VIC, 3460",-37.342971,144.142172,1.0688172579,POINT (144.142172 -37.342971)
ChargeFox,"Mineral Springs Reserve Rd, Hepburn Springs, VIC, 3461",-37.309072,144.140369,1.061999917,POINT (144.140369 -37.309072)
Tesla,"606 Daylesford Trentham Road, Musk, VIC, 3461",-37.374526,144.198017,1.0600562096,POINT (144.198017 -37.374526)
Evie,"12 Wallace Street, Meredith, VIC, 3333",-37.844323,144.076807,1.0581064224,POINT (144.076807 -37.844323)
Exploren,"75 Fraser Street, Amphitheatre, VIC, 3468",-37.18275,143.399691,1.0418438911,POINT (143.399691 -37.18275)
ChargeFox,"66 High Street, Trentham, VIC, 3458",-37.388595,144.325415,1.035349369,POINT (144.325415 -37.388595)
Evie,"Station St, Maryborough, VIC, 3465",-37.050907,143.741487,1.03350389,POINT (143.741487 -37.050907)
Evie,"101 High Street, Avoca, VIC, 3467",-37.089935,143.474508,1.031473875,POINT (143.474508 -37.089935)
Exploren,"55 Lyons St, Newstead, VIC, 3462",-37.105018,144.065869,1.0310955048,POINT (144.065869 -37.105018)
Evie,"33 Forest Street, Castlemaine, VIC, 3450",-37.066718,144.217782,1.0250109434,POINT (144.217782 -37.066718)
Exploren,"98 Forest Street, Castlemaine, VIC, 3450",-37.067624,144.222189,1.0249972343,POINT (144.222189 -37.067624)
Evie,"29 High Street, Bannockburn, VIC, 3331",-38.047336,144.170667,1.0249823332,POINT (144.170667 -38.047336)
Tesla,"33 Campbell Street, Castlemaine, VIC, 3450",-37.06209,144.219713,1.0249673128,POINT (144.219713 -37.06209)
Evie,"7-15 Baynton Street, Kyneton, VIC, 3444",-37.249025,144.452158,1.0247609615,POINT (144.452158 -37.249025)
Tesla,"72 Piper Street, Kyneton, VIC, 3444",-37.244045,144.44885,1.0247608423,POINT (144.44885 -37.244045)
Evie,"1 Hutton Street, Kyneton, VIC, 3444",-37.247052,144.452539,1.0247498751,POINT (144.452539 -37.247052)
Tesla,"1 Bolton Reserve Lane, Kyneton, VIC, 3444",-37.249261,144.454986,1.024743557,POINT (144.454986 -37.249261)
