OBJECTID,Type,STYLE,MeterNumber,RatePerHour,MaxTime,MapSymbol,Description,InfrastructureID,LifecycleStatus,Condition,HoursInEffect,Length_m,Width_m,AccessAisle,AccessAisleWidth_m,LoadingSide,DistanceToNearestLetdown_m,CrossSlope_percent,MeetsSDC16,NewSignageInstalled,CurbPainted,Location,CivicAddress,Comments,Owner,OwnerNotes,Custodian,CustodianNotes,geometry,Latitude,Longitude
19,non-metered,ELECTRIC VEHICLE,,Regular parking fees apply.,,ELECTRIC VEHICLE,"Ver Network AAA-272 View Street Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP002216,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.3638054044696 48.42511956618813),48.42459974688293,-123.36109330080023
197,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall Rooftop (approximate location),PSP002223,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33506163541432 48.44690464482426),48.44698873114609,-123.33436776072705
430,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall Rooftop (approximate location),PSP002225,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33499999346992 48.44683484227543),48.442372449468046,-123.33123842690439
529,metered,ELECTRIC VEHICLE,2518.0,$3.00,90 MIN,ELECTRIC VEHICLE,"$3.00/HR  90 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP000511,ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.36636785301413 48.425932381530174),48.42283676660572,-123.36771459712304
778,metered,ELECTRIC VEHICLE,4001.0,$3.00,40 MIN,ELECTRIC VEHICLE,"$3.00/HR 40 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP000629,ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,,VC,,POINT (-123.36964991148943 48.42796548598136),48.42949218108236,-123.368619324203
897,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall Rooftop (approximate location),PSP002221,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33512756626244 48.44697372052767),48.45004550369552,-123.33805136371491
911,metered,ELECTRIC VEHICLE,2760.0,$3.00,90 MIN,ELECTRIC VEHICLE,"$3.00/HR 90 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP000594,ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.36616827797128 48.426593037050914),48.43035017550942,-123.361352345635
964,non-metered,ELECTRIC VEHICLE,,Regular parking fees apply.,,ELECTRIC VEHICLE,"Ver Network AAA-314 View Street Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP002217,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.36383062854003 48.425124276197295),48.42873114973296,-123.36061464230008
1160,non-metered,ELECTRIC VEHICLE,,$1.00,,ELECTRIC VEHICLE,"Ver Network AAA-266 Broughton Street Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP002219,ACT,,,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.36423665391007 48.42352540742386),48.42713330649277,-123.36366933183588
1241,metered,ELECTRIC VEHICLE,2517.0,$3.00,90 MIN,ELECTRIC VEHICLE,"$3.00/HR  90 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP000512,ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.36637550222666 48.42590056610452),48.42365072711553,-123.36638931887913
1295,non-metered,ELECTRIC VEHICLE,,Regular parking fees apply.,,ELECTRIC VEHICLE,"Ver Network AAA-311 Centennial Square Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP002213,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.36523880035865 48.42928492068114),48.425113835878264,-123.36895447268293
1347,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall Rooftop (approximate location),PSP002224,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33503134187147 48.44686831337391),48.44643611837465,-123.33314822118219
1352,non-metered,ELECTRIC VEHICLE,,Regular parking fees apply.,,ELECTRIC VEHICLE,"Ver Network AAA-282 Johnson Street Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP002215,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.36311291185856 48.42718754138419),48.42346023688162,-123.36337203128816
1366,metered,ELECTRIC VEHICLE,4002.0,$3.00,40 MIN,ELECTRIC VEHICLE,"$3.00/HR 40 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP000628,ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,,VC,,POINT (-123.36965113732748 48.42798782134413),48.42646089899031,-123.37228185080406
1472,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall parking lot (approximate location),PSP002230,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33485679963307 48.44747080705489),48.44413130212414,-123.33165442456573
1512,non-metered,ELECTRIC VEHICLE,,$1.00,,ELECTRIC VEHICLE,"Ver Network AAA-275 Broughton Street Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP002218,ACT,,,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.36421862669972 48.42352067382447),48.4279039557365,-123.365672148639
1654,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall parking lot (approximate location),PSP002229,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33482030106688 48.44747019892521),48.44272524663086,-123.33817696399427
1674,metered,ELECTRIC VEHICLE,2916.0,$3.00,90 MIN,ELECTRIC VEHICLE,"$3.00/HR  90 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP000336,ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.365989449514 48.42751623148886),48.42565219423894,-123.36142281740503
1767,non-metered,ELECTRIC VEHICLE,,Regular parking fees apply.,,ELECTRIC VEHICLE,"Ver Network AAA-332 Bastion Square Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP002214,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.36887795320854 48.426628480316126),48.42443428765378,-123.37041500154903
1771,metered,ELECTRIC VEHICLE,2761.0,$3.00,90 MIN,ELECTRIC VEHICLE,"$3.00/HR  90 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP000595,ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.36615993680712 48.42662772725535),48.42491001639733,-123.36310029033095
1843,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall parking lot (approximate location),PSP002228,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33478487955135 48.44747030197307),48.44910638313592,-123.3349703635329
1896,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall parking lot (approximate location),PSP002226,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33471403182557 48.447469793727436),48.44926905518824,-123.33818221608549
1944,non-metered,ELECTRIC VEHICLE,,$1.00,,ELECTRIC VEHICLE,"Ver Network AAA-332 Bastion Square Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP002214,ACT,,,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.3690247088614 48.426456369317435),48.430302518278715,-123.36403917195943
1998,metered,ELECTRIC VEHICLE,9292.0,M-SAT $2.50 SUN Free,$15 Daily Max Rate,ACCESSIBLE,Hourly Rate M-SAT $2.50 SUN Free; Max Time $15 Daily Max Rate,PSP002375,ACT,2.0,M-SAT 8AM-8PM,5.0,3.0,Yes,2.5,Right Side,5.0 to elevator,0.8,No,No,No,View St Parkade - 5th Floor,743 View St,EV charging station,VC,,VC,,POINT (-123.36363854537153 48.425023679468126),48.42372723357759,-123.36170150624405
2042,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall Rooftop (approximate location),PSP002220,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33515891953378 48.44700790589886),48.447605942543056,-123.33274879937571
2082,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall parking lot (approximate location),PSP002231,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33489329955235 48.447471415169055),48.4486648002955,-123.33739848370182
2201,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall Rooftop (approximate location),PSP002222,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33509406229457 48.44693882708769),48.44724432382745,-123.33298594990812
2213,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall parking lot (approximate location),PSP002227,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33475053174266 48.447470401886896),48.45032594934316,-123.33458207921977
2330,metered,ELECTRIC VEHICLE,2915.0,$3.00,90 MIN,ELECTRIC VEHICLE,"$3.00/HR  90 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP000337,ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.36599714521391 48.42748423601881),48.425724287449064,-123.36327495989524
19,non-metered,ELECTRIC VEHICLE,,Regular parking fees apply.,,ELECTRIC VEHICLE,"Ver Network AAA-272 View Street Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP002216,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.3638054044696 48.42511956618813),48.43000448323371,-123.36461793231481
197,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall Rooftop (approximate location),PSP002223,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33506163541432 48.44690464482426),48.44372406460054,-123.33766748131912
430,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall Rooftop (approximate location),PSP002225,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33499999346992 48.44683484227543),48.445929401471226,-123.33784982826062
529,metered,ELECTRIC VEHICLE,2518.0,$3.00,90 MIN,ELECTRIC VEHICLE,"$3.00/HR  90 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP000511,ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.36636785301413 48.425932381530174),48.42344103216198,-123.36513846011181
778,metered,ELECTRIC VEHICLE,4001.0,$3.00,40 MIN,ELECTRIC VEHICLE,"$3.00/HR 40 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP000629,ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,,VC,,POINT (-123.36964991148943 48.42796548598136),48.43039218272046,-123.37136412586383
897,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall Rooftop (approximate location),PSP002221,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33512756626244 48.44697372052767),48.445979919241815,-123.33318092917037
911,metered,ELECTRIC VEHICLE,2760.0,$3.00,90 MIN,ELECTRIC VEHICLE,"$3.00/HR 90 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP000594,ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.36616827797128 48.426593037050914),48.4256793330277,-123.362905932942
964,non-metered,ELECTRIC VEHICLE,,Regular parking fees apply.,,ELECTRIC VEHICLE,"Ver Network AAA-314 View Street Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP002217,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.36383062854003 48.425124276197295),48.42265031585921,-123.36476392730933
