InfrastructureID,RatePerHour,MaxTime,Latitude,Longitude,TAVG,PRCP,TMAX,TMIN,OBJECTID,OBJECTID,Type,STYLE,MeterNumber,MapSymbol,Description,LifecycleStatus,Condition,HoursInEffect,Length_m,Width_m,AccessAisle,AccessAisleWidth_m,LoadingSide,DistanceToNearestLetdown_m,CrossSlope_percent,MeetsSDC16,NewSignageInstalled,CurbPainted,Location,CivicAddress,Comments,Owner,OwnerNotes,Custodian,CustodianNotes,geometry,geometry,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP_ATTRIBUTES,TAVG_ATTRIBUTES,TMAX_ATTRIBUTES,TMIN_ATTRIBUTES,OBJECTID,OBJECTID,Label,Direction,SHAPE_Length,Year,PDF,geometry,geometry
PSP002216,Regular parking fees apply.,,48.42459974688293,-123.36109330080023,26.3,0.0,38.4,18.2,19,1,non-metered,ELECTRIC VEHICLE,,ELECTRIC VEHICLE,"Ver Network AAA-272 View Street Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.3638054044696 48.42511956618813),"LINESTRING (-123.33190031062234 48.40990115042434, -123.33190078032746 48.40997312155558)",ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,1/01/2022,",,a","H,,S",",,a",",,a",19,1,450(92),both,8.000000000624997,1992,,POINT (-123.3638054044696 48.42511956618813),"LINESTRING (-123.33190031062234 48.40990115042434, -123.33190078032746 48.40997312155558)"
PSP002223,Free,,48.44698873114609,-123.33436776072705,20.9,0.0,32.6,19.9,197,2,non-metered,ELECTRIC VEHICLE,,ELECTRIC VEHICLE,Hillside Mall Rooftop (approximate location),ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33506163541432 48.44690464482426),"LINESTRING (-123.33121562693142 48.41416665664162, -123.33121452807553 48.41423862503941)",ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2/01/2022,",,a","H,,S",",,a",",,a",197,2,650(92),both,8.000039591893954,1992,,POINT (-123.33506163541432 48.44690464482426),"LINESTRING (-123.33121562693142 48.41416665664162, -123.33121452807553 48.41423862503941)"
PSP002225,Free,,48.442372449468046,-123.33123842690439,17.3,0.0,21.8,15.3,430,3,non-metered,ELECTRIC VEHICLE,,ELECTRIC VEHICLE,Hillside Mall Rooftop (approximate location),ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33499999346992 48.44683484227543),"LINESTRING (-123.34398075493085 48.41359584867903, -123.34390843866458 48.413542349097874)",ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,3/01/2022,",,a","H,,S",",,a",",,a",430,3,370(87),both,7.999972420884864,1987,,POINT (-123.33499999346992 48.44683484227543),"LINESTRING (-123.34398075493085 48.41359584867903, -123.34390843866458 48.413542349097874)"
PSP000511,$3.00,90 MIN,48.42283676660572,-123.36771459712304,19.6,0.0,22.9,14.5,529,4,metered,ELECTRIC VEHICLE,2518.0,ELECTRIC VEHICLE,"$3.00/HR  90 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.36636785301413 48.425932381530174),"LINESTRING (-123.34505607281409 48.41407090763526, -123.3449765882141 48.41411969317347)",ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,4/01/2022,",,a","H,,S",",,a",",,a",529,4,450(87),both,7.999988151697059,1987,,POINT (-123.36636785301413 48.425932381530174),"LINESTRING (-123.34505607281409 48.41407090763526, -123.3449765882141 48.41411969317347)"
PSP000629,$3.00,40 MIN,48.42949218108236,-123.368619324203,22.2,0.0,30.1,15.8,778,5,metered,ELECTRIC VEHICLE,4001.0,ELECTRIC VEHICLE,"$3.00/HR 40 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,,VC,,POINT (-123.36964991148943 48.42796548598136),"LINESTRING (-123.34501165382068 48.41496048523874, -123.34493884056779 48.41490728379277)",ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,5/01/2022,",,a","H,,S",",,a",",,a",778,5,280(87),both,7.999995892227544,1987,,POINT (-123.36964991148943 48.42796548598136),"LINESTRING (-123.34501165382068 48.41496048523874, -123.34493884056779 48.41490728379277)"
PSP002221,Free,,48.45004550369552,-123.33805136371491,24.0,0.0,30.6,15.4,897,6,non-metered,ELECTRIC VEHICLE,,ELECTRIC VEHICLE,Hillside Mall Rooftop (approximate location),ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33512756626244 48.44697372052767),"LINESTRING (-123.34576637103174 48.41607726248821, -123.34573904028629 48.41623413112976)",ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,6/01/2022,",,a","H,,S",",,a",",,a",897,6,100(81),both,17.553588570657364,1981,,POINT (-123.33512756626244 48.44697372052767),"LINESTRING (-123.34576637103174 48.41607726248821, -123.34573904028629 48.41623413112976)"
PSP000594,$3.00,90 MIN,48.43035017550942,-123.361352345635,19.6,0.0,27.0,17.6,911,7,metered,ELECTRIC VEHICLE,2760.0,ELECTRIC VEHICLE,"$3.00/HR 90 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.36616827797128 48.426593037050914),"LINESTRING (-123.34053191218102 48.41465500535719, -123.34042380385853 48.41465431312899)",ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,7/01/2022,",,a","H,,S",",,a",",,a",911,7,200(82),both,7.999991055126868,1982,,POINT (-123.36616827797128 48.426593037050914),"LINESTRING (-123.34053191218102 48.41465500535719, -123.34042380385853 48.41465431312899)"
PSP002217,Regular parking fees apply.,,48.42873114973296,-123.36061464230008,16.8,19.2,20.8,16.4,964,8,non-metered,ELECTRIC VEHICLE,,ELECTRIC VEHICLE,"Ver Network AAA-314 View Street Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.36383062854003 48.425124276197295),"LINESTRING (-123.34014562521863 48.415360992780215, -123.34014258052416 48.415432935519995)",ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,8/01/2022,",,a","H,,S",",,a",",,a",964,8,280(82),both,7.999952195345349,1982,,POINT (-123.36383062854003 48.425124276197295),"LINESTRING (-123.34014562521863 48.415360992780215, -123.34014258052416 48.415432935519995)"
PSP002219,$1.00,,48.42713330649277,-123.36366933183588,17.6,0.4,23.3,14.4,1160,9,non-metered,ELECTRIC VEHICLE,,ELECTRIC VEHICLE,"Ver Network AAA-266 Broughton Street Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",ACT,,,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.36423665391007 48.42352540742386),"LINESTRING (-123.32354389871628 48.42288534859659, -123.32343576870578 48.422885653469656)",ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,9/01/2022,",,a","H,,S",",,a",",,a",1160,9,900(92),both,8.000000000624997,1992,,POINT (-123.36423665391007 48.42352540742386),"LINESTRING (-123.32354389871628 48.42288534859659, -123.32343576870578 48.422885653469656)"
PSP000512,$3.00,90 MIN,48.42365072711553,-123.36638931887913,23.0,0.0,31.6,12.4,1241,10,metered,ELECTRIC VEHICLE,2517.0,ELECTRIC VEHICLE,"$3.00/HR  90 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.36637550222666 48.42590056610452),"LINESTRING (-123.32914186265025 48.4290824640053, -123.32914232877616 48.42915443491547)",ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,10/01/2022,",,a","H,,S",",,a",",,a",1241,10,900(91),both,8.000000000624997,1991,,POINT (-123.36637550222666 48.42590056610452),"LINESTRING (-123.32914186265025 48.4290824640053, -123.32914232877616 48.42915443491547)"
