Charger Name,Address,City,State,Postal Code,Power (kW),Usage Cost,Number of Points,Connection Types
RMIT - City Campus,17-21 Cardigan Street,Carlton,VIC,3053,"75, 22",AUD 0.30 per kWh,1.0,"33, 25"
100 St Kilda Rd,100 St Kilda Rd,Southbank,AU-VIC,AU,None,,,1
11 Nicholson Street,11 Nicholson Street,Carlton,AU-VIC,AU,None,,,1
Lorbek Luxury Cars,30 Prohasky Street,Port Melbourne,Victoria,3207,11,$0.31/kWh,8.0,1036
Tesla Supercharger South Melbourne,Clarendon Street,South Melbourne,VIC,,250,,6.0,33
Collingwood Library,13 Stanton St,Abbotsford,VIC,3067,"50, 50, 50, 50",$0.40/kWh,2.0,"33, 2, 33, 2"
JET Charge Office,350 Bridge Street,Port Melbourne,VIC,3207,"80, 80, 22",AUD 0.60 per kWh,1.0,"2, 33, 1036"
Evie Richmond Library,Swan Street,Richmond,VIC,,50,,1.0,33
650 Church Street Building 5,Church Street,Melbourne,Victoria,3121,120,AUD 0.42/kWh;other tariffs for older cars,4.0,33
Woolworths Fishermans Bend,Plumber Street,Fishermans Bend,VIC,,50,,2.0,33
Middy’s Port Melbourne,2 Thackray Road,Port Melbourne,Victoria,3207,"25, 25",$0.40 per kWh (at all times),1.0,"33, 2"
Ampcharge Barkly Square,Barkly Street,Brunswick,VIC,,150,,8.0,33
ENGIE - VIctoria Gardens,620 Victoria St,Richmond,Vic,3121,"100, 100",AUD 0.54 per kWh (3pm-10am) AUD 0.37 per kWh (10am - 3pm),1.0,"2, 33"
GET Electric Head Office,327 Plummer Street,Port Melbourne,Victoria,3207,11,$0.24/kWh,6.0,25
Brunswick EV Hub,15 Edward Street,Brunswick,Victoria,3056,"80, 7",Free,4.0,"33, 25"
David Street Car Park,1 David St,Brunswick,Victoria,3056,22,Free,2.0,25
RMIT Brunswick,25 Dawson St,Brunswick,Victoria,3056,22,$0.30 per kWh,1.0,25
Fleming Park,4 -6 Cross St,Brunswick East,Victoria,3057,"7, 7",Free,2.0,"25, 25"
The Parade Ascot Vale Car Park,66-68 The Parade,Ascot Vale,Victoria,3032,"50, 50, 50, 50",$0.40 per kWh parking overstay charges may apply.,2.0,"2, 33, 33, 2"
Moonee Ponds,Moonee Ponds,,,3039,120,AUD 0.42/kWh;other tariffs for older cars,6.0,33
Moonee Ponds Central,14 - 16 Hall St,Moonee Ponds,Victoria,3039,"22, 22",Free,1.0,"1, 25"
St Kilda Town Hall,164 Carlisle Street,St Kilda,Vic,3182,"3.5, 2.4",Free,2.0,"25, 29"
Swinburne University - TC Building,Falmouth Street,Hawthorn,Victoria,3122,"50, 50",Charging is free. Parking is free.,1.0,"33, 2"
City of Stonnington,290 Glenferrie Road,Malvern,VIC,3144,"50, 50",AUD 0.45 per kWh,1.0,"33, 2"
Malvern Central,122 Wattletree Rd,Armadale,Victoria,3144,"50, 50, 50, 50",$0.40 per kWh. Parking overstay charges may apply,2.0,"33, 2, 33, 2"
Coburg Civic Centre / Moreland City,90 Bell Street,Coburg,Victoria,3058,"50, 22, 50",Free,4.0,"33, 25, 2"
Coburg Town Hall / Moreland City,Bell Street,Melbourne,Victoria,3058,7,Free,2.0,25
Camberwell Supercharger,793 Burke Road,Camberwell,VIC,3124,120,AUD 0.42/kWh;other tariffs for older cars,6.0,33
Monash Caufield,880 Dandenong Rd,Malvern East,Vic,3145,"50, 50",Free,1.0,"33, 2"
Bayside Gateway,301-307 Nepean Hwy,Brighton East,Victoria,3186,"75, 75",55c/kWh,6.0,"2, 33"
Austin Tower Carpark Level B1,145 Studley Road,Heidelberg,Victoria,3084,"22, 22",$0.25 per kWh,4.0,"25, 25"
