station_code,station_name,latitude,longitude,elevation_m,date,precipitation_mm,temp_avg_c,temp_max_c,temp_min_c
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-01-01,0.0,26.3,38.4,18.2
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-01-02,0.0,20.9,32.6,19.9
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-01-03,0.0,17.3,21.8,15.3
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-01-04,0.0,19.6,22.9,14.5
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-01-05,0.0,22.2,30.1,15.8
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-01-06,0.0,24.0,30.6,15.4
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-01-07,0.0,19.6,27.0,17.6
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-01-08,19.2,16.8,20.8,16.4
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-01-09,0.4,17.6,23.3,14.4
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-01-10,0.0,23.0,31.6,12.4
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-01-11,0.0,21.8,29.3,16.6
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-01-12,0.0,22.9,30.5,14.8
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-01-13,0.0,25.2,35.2,15.3
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-01-14,0.4,24.8,33.4,17.6
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-01-15,0.2,19.5,25.3,17.6
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-01-16,0.0,24.2,31.5,15.7
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-01-17,0.0,19.0,25.0,17.2
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-01-18,0.0,17.6,22.8,16.2
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-01-19,0.0,19.4,27.7,13.7
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-01-20,0.0,22.0,29.8,11.0
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-01-21,0.0,23.6,31.7,15.1
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-01-22,0.0,25.0,33.3,15.5
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-01-23,0.0,25.9,34.1,15.8
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-01-24,0.0,26.2,35.1,17.5
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-01-25,0.0,25.1,34.4,17.3
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-01-26,0.0,27.7,37.3,16.6
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-01-27,12.2,26.8,33.3,19.6
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-01-28,3.6,21.1,34.5,21.1
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-01-29,22.0,19.2,21.6,16.9
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-01-30,0.2,23.0,28.7,17.5
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-01-31,0.0,26.7,35.2,19.2
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-02-01,0.0,17.6,25.4,19.2
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-02-02,0.0,14.2,19.3,12.4
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-02-03,0.2,15.0,18.7,10.1
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-02-04,0.0,17.8,23.6,9.7
