datetime,tempmax,tempmin,temp,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,windspeedmax,windspeedmean,windspeedmin
2016-09-01,16.7,11.7,13.9,80.1,0.348,100,4.17,rain,0,0,53.6,26.9,26.9,20.8,14.3
2016-09-02,17.2,12.3,14.8,84.2,1.75,100,16.67,rain,0,0,50,25.3,25.3,18.2,10.8
2016-09-03,17.4,11.3,14,86.4,0.894,100,12.5,rain,0,0,32,17.4,17.4,9.8,2.7
2016-09-04,18.9,11.9,14.9,86.7,3.137,100,12.5,rain,0,0,15.5,12.5,12.5,6.4,3.1
2016-09-05,19.6,11.7,15.6,89.6,0.585,100,4.17,rain,0,0,50,17,17,9.3,3
2016-09-06,21.2,15.3,19,87.4,1.08,100,16.67,rain,0,0,51.8,26.4,26.4,16.9,5.5
2016-09-07,22.2,15.5,18.4,86.4,2.271,100,12.5,rain,0,0,34.2,14.9,14.9,8.1,3.5
2016-09-08,18.4,13.1,15.7,88.5,7.053,100,12.5,rain,0,0,57.6,30.5,30.5,14.5,6.1
2016-09-09,16.5,12.2,14.8,86.3,5.031,100,16.67,rain,0,0,59.9,30.5,30.5,16.7,2.7
2016-09-10,17.3,10.8,13.1,76,2.971,100,4.17,rain,0,0,56.2,21.8,21.8,15.6,7.6
2016-09-11,17.3,10.6,14.1,72.6,0,0,0,,0,0,50,25.3,25.3,17.2,10.2
2016-09-12,21.4,15.4,18.1,76.6,0.218,100,8.33,rain,0,0,55.4,22.1,22.1,17.3,10.4
2016-09-13,19.5,14.6,17.5,89.6,3.533,100,12.5,rain,0,0,36,14.4,14.4,7.7,3.9
2016-09-14,15.8,13.9,14.7,91.7,3.673,100,8.33,rain,0,0,37.8,17.9,17.9,13,8.4
2016-09-15,19.6,13.2,15.5,93.5,0.081,100,8.33,rain,0,0,33.5,9.6,9.6,5.8,2.5
2016-09-16,18.1,10.4,14.3,81.3,0.664,100,8.33,rain,0,0,36.4,17.5,17.5,12.9,5.4
2016-09-17,17.7,7.6,12.4,82.7,0,0,0,,0,0,22.7,14.4,14.4,8.8,5.7
2016-09-18,17.1,9.3,13.2,87.5,0.05,100,4.17,rain,0,0,39.6,20.8,20.8,11.6,4.9
2016-09-19,16.9,7.7,12.7,79.9,0.026,100,4.17,rain,0,0,22.7,10.8,10.8,7.5,3.6
2016-09-20,16,6.7,12.2,77.7,0,0,0,,0,0,25.2,15.8,15.8,6.1,2.3
2016-09-21,16.7,5,11.4,85.2,1.695,100,4.17,rain,0,0,43.9,17.3,17.3,8.2,1.6
2016-09-22,15.4,10.4,12.7,78.9,2.269,100,12.5,rain,0,0,44.6,23.2,23.2,13.1,2.8
2016-09-23,15.2,8.3,12.1,80.4,1.857,100,8.33,rain,0,0,60.1,31.4,31.4,18.2,9.7
2016-09-24,17.8,14.2,16.1,79.1,3.445,100,12.5,rain,0,0,62.6,31.5,31.5,23,11.7
2016-09-25,15.4,9,12.9,79.3,3.254,100,12.5,rain,0,0,55.1,27.7,27.7,16.8,8
2016-09-26,13.9,6.1,10.3,87.2,0.885,100,12.5,rain,0,0,32.4,15.3,15.3,8.1,2.8
