Cost,ChargingPoints,PayAtLocation,MembershipRequired,AccessKeyRequired,IsOperational,Latitude,Longitude,Operator,ConnectionType,PowerOutput,CurrentType,ChargingPoints_Flag
Unknown,1,Unknown,Unknown,Unknown,Unknown,-31.9362523,115.8715309,Unknown,Unknown,,Unknown,1
Unknown,1,Unknown,Unknown,Unknown,Unknown,-32.9358797,151.6438477,ChargePoint,Type 1 (J1772),,Unknown,1
Unknown,2,Unknown,Unknown,Unknown,Unknown,-41.218297,146.4125226,Unknown,Type 2 (Socket Only),,Unknown,0
Unknown,8,Unknown,Unknown,Unknown,Unknown,-34.7554799,149.7209942,Tesla Supercharger,Unknown,,Unknown,0
Unknown,4,Unknown,Unknown,Unknown,Unknown,-37.8872284,145.0824905,"Tesla, Inc.",Unknown,,Unknown,0
Unknown,2,Unknown,Unknown,Unknown,Unknown,-38.0270897,145.2116252,Unknown,Unknown,,Unknown,0
Unknown,1,Unknown,Unknown,Unknown,Unknown,-37.5753648,143.8664155,Unknown,Unknown,,Unknown,1
Unknown,2,Unknown,Unknown,Unknown,Unknown,-37.8042881,144.9719796,Museums Victoria,Unknown,,Unknown,0
Unknown,1,Unknown,Unknown,Unknown,Unknown,-37.9054453,145.133609,Unknown,Unknown,,Unknown,1
Unknown,1,Unknown,Unknown,Unknown,Unknown,-37.6507196,145.5029836,Unknown,Unknown,,Unknown,1
Unknown,1,Unknown,Unknown,Unknown,Unknown,-37.9584508,145.0534948,ChargePoint,Unknown,,Unknown,1
Unknown,1,Unknown,Unknown,Unknown,Unknown,-33.5212508,151.3749048,Tesla Motors,Unknown,,Unknown,1
Unknown,1,Unknown,Unknown,Unknown,Unknown,-34.4075897,150.8812521,ChargePoint,Type 1 (J1772),,Unknown,1
Unknown,4,Unknown,Unknown,Unknown,Unknown,-33.8485098,138.6181952,Tesla Supercharger,Unknown,,Unknown,0
Unknown,1,Unknown,Unknown,Unknown,Unknown,-25.197523,133.2007563,NRMA,CHAdeMO,,Unknown,1
Unknown,8,Unknown,Unknown,Unknown,Unknown,-33.8829291,151.1946269,Tesla Supercharger,Unknown,,Unknown,0
Unknown,1,Unknown,Unknown,Unknown,Unknown,-33.8682863,151.2063604,Unknown,Unknown,,Unknown,1
Unknown,1,Unknown,Unknown,Unknown,Unknown,-37.7714237,144.9619656,Chargefox,CHAdeMO,,Unknown,1
Unknown,2,Unknown,Unknown,Unknown,Unknown,-37.4438844,143.8905143,RACV,Type 1 (J1772),,Unknown,0
Unknown,1,Unknown,Unknown,Unknown,Unknown,-33.9285142,151.186122,"Tesla, Inc.",Unknown,,Unknown,1
Unknown,1,Unknown,Unknown,Unknown,Unknown,-33.9760165,150.8118548,Unknown,Unknown,,Unknown,1
Unknown,1,Unknown,Unknown,Unknown,Unknown,-37.9505279,145.080672,ChargePoint,Unknown,,Unknown,1
Unknown,1,Unknown,Unknown,Unknown,Unknown,-37.9214395,145.1577067,ChargePoint,Unknown,,Unknown,1
Unknown,1,Unknown,Unknown,Unknown,Unknown,-37.8748303,145.165502,ChargePoint,Unknown,,Unknown,1
Unknown,4,Unknown,Unknown,Unknown,Unknown,-38.1433232,144.3612324,Unknown,Unknown,,Unknown,0
Unknown,1,Unknown,Unknown,Unknown,Unknown,-33.1375197,148.1726877,NRMA,Unknown,,Unknown,1
Unknown,3,Unknown,Unknown,Unknown,Unknown,-33.5747389,115.8244911,RAC,Unknown,,Unknown,0
Unknown,1,Unknown,Unknown,Unknown,Unknown,-34.775569,150.7008205,NRMA,Unknown,,Unknown,1
Unknown,1,Unknown,Unknown,Unknown,Unknown,-41.4358155,147.1395575,Chargefox,"Type 2 (Socket Only), CHAdeMO",,Unknown,1
Unknown,1,Unknown,Unknown,Unknown,Unknown,-35.7084845,150.1752344,NRMA,CHAdeMO,,Unknown,0
Unknown,1,Unknown,Unknown,Unknown,Unknown,-33.3101932,151.420595,Tesla Supercharger,Unknown,,Unknown,1
Unknown,3,Unknown,Unknown,Unknown,Unknown,-37.7237042,144.9209626,Unknown,Unknown,,Unknown,0
Unknown,1,Unknown,Unknown,Unknown,Unknown,-37.7401175,145.0050847,Darebin City Council,Unknown,,Unknown,0
Unknown,4,Unknown,Unknown,Unknown,Unknown,-37.8160073,144.9597412,RACV,Unknown,,Unknown,0
Unknown,1,Unknown,Unknown,Unknown,Unknown,-37.8163799,144.9547665,Alto Hotel,Unknown,,Unknown,0
Unknown,1,Unknown,Unknown,Unknown,Unknown,-37.8132556,144.9559119,Unknown,Unknown,,Unknown,1
Unknown,2,Unknown,Unknown,Unknown,Unknown,-37.8143461,144.9618065,Unknown,Unknown,,Unknown,0
Unknown,2,Unknown,Unknown,Unknown,Unknown,-37.81826,144.9639555,Unknown,Unknown,,Unknown,0
