latitude,longitude,charging_points,power_output,operational_score,accessibility_score,station_density,station_density_normalized,operator,connection_type,current_type,charging_capacity,station_score
-31.9362523,115.8715309,1,0.0,0.5,0.5,177.0,0.5866666666666667,Unknown,Unknown,Unknown,0.0,0.36733333333333335
-32.9358797,151.6438477,1,0.0,0.5,0.5,39.0,0.12666666666666668,ChargePoint,Type 1 (J1772),Unknown,0.0,0.2753333333333333
-41.218297,146.4125226,2,0.0,0.5,0.5,9.0,0.02666666666666667,Unknown,Type 2 (Socket Only),Unknown,0.0,0.25533333333333336
-34.7554799,149.7209942,8,0.0,0.5,0.5,42.0,0.13666666666666666,Tesla Supercharger,Unknown,Unknown,0.0,0.2773333333333333
-37.8872284,145.0824905,4,0.0,0.5,0.5,301.0,1.0,"Tesla, Inc.",Unknown,Unknown,0.0,0.45
-38.0270897,145.2116252,2,0.0,0.5,0.5,301.0,1.0,Unknown,Unknown,Unknown,0.0,0.45
-37.5753648,143.8664155,1,0.0,0.5,0.5,301.0,1.0,Unknown,Unknown,Unknown,0.0,0.45
-37.8042881,144.9719796,2,0.0,0.5,0.5,301.0,1.0,Museums Victoria,Unknown,Unknown,0.0,0.45
-37.9054453,145.133609,1,0.0,0.5,0.5,301.0,1.0,Unknown,Unknown,Unknown,0.0,0.45
-37.6507196,145.5029836,1,0.0,0.5,0.5,301.0,1.0,Unknown,Unknown,Unknown,0.0,0.45
-37.9584508,145.0534948,1,0.0,0.5,0.5,301.0,1.0,ChargePoint,Unknown,Unknown,0.0,0.45
-33.5212508,151.3749048,1,0.0,0.5,0.5,222.0,0.7366666666666667,Tesla Motors,Unknown,Unknown,0.0,0.3973333333333333
-34.4075897,150.8812521,1,0.0,0.5,0.5,222.0,0.7366666666666667,ChargePoint,Type 1 (J1772),Unknown,0.0,0.3973333333333333
-33.8485098,138.6181952,4,0.0,0.5,0.5,95.0,0.31333333333333335,Tesla Supercharger,Unknown,Unknown,0.0,0.31266666666666665
-25.197523,133.2007563,1,0.0,0.5,0.5,2.0,0.0033333333333333335,Unknown,Unknown,Unknown,0.0,0.25066666666666665
-33.8829291,151.1946269,8,0.0,0.5,0.5,222.0,0.7366666666666667,Tesla Supercharger,Unknown,Unknown,0.0,0.3973333333333333
-33.8682863,151.2063604,1,0.0,0.5,0.5,222.0,0.7366666666666667,Unknown,Unknown,Unknown,0.0,0.3973333333333333
-37.7714237,144.9619656,1,0.0,0.5,0.5,301.0,1.0,Merri-bek City Council,Unknown,Unknown,0.0,0.45
-37.4438844,143.8905143,2,0.0,0.5,0.5,301.0,1.0,RACV,Type 1 (J1772),Unknown,0.0,0.45
-33.9285142,151.186122,1,0.0,0.5,0.5,222.0,0.7366666666666667,"Tesla, Inc.",Unknown,Unknown,0.0,0.3973333333333333
-33.9760165,150.8118548,1,0.0,0.5,0.5,222.0,0.7366666666666667,Unknown,Unknown,Unknown,0.0,0.3973333333333333
-37.9505279,145.080672,1,0.0,0.5,0.5,301.0,1.0,ChargePoint,Unknown,Unknown,0.0,0.45
-37.9214395,145.1577067,1,0.0,0.5,0.5,301.0,1.0,ChargePoint,Unknown,Unknown,0.0,0.45
-37.8748303,145.165502,1,0.0,0.5,0.5,301.0,1.0,ChargePoint,Unknown,Unknown,0.0,0.45
-38.1433232,144.3612324,4,0.0,0.5,0.5,301.0,1.0,Unknown,Unknown,Unknown,0.0,0.45
-33.1375197,148.1726877,1,0.0,0.5,0.5,11.0,0.03333333333333333,NRMA,Unknown,Unknown,0.0,0.25666666666666665
-33.5747389,115.8244911,3,0.0,0.5,0.5,31.0,0.1,RAC,Unknown,Unknown,0.0,0.27
-34.775569,150.7008205,1,0.0,0.5,0.5,222.0,0.7366666666666667,NRMA,Unknown,Unknown,0.0,0.3973333333333333
-41.4358155,147.1395575,1,0.0,0.5,0.5,47.0,0.15333333333333332,Chargefox,"Type 2 (Socket Only), CHAdeMO",Unknown,0.0,0.2806666666666667
-35.7084845,150.1752344,1,0.0,0.5,0.5,54.0,0.17666666666666667,NRMA,CHAdeMO,Unknown,0.0,0.2853333333333333
-33.3101932,151.420595,1,0.0,0.5,0.5,222.0,0.7366666666666667,Tesla Supercharger,Unknown,Unknown,0.0,0.3973333333333333
-37.7237042,144.9209626,3,0.0,0.5,0.5,301.0,1.0,Unknown,Unknown,Unknown,0.0,0.45
-37.7401175,145.0050847,1,0.0,0.5,0.5,301.0,1.0,Darebin City Council,Unknown,Unknown,0.0,0.45
-37.8160073,144.9597412,4,0.0,0.5,0.5,301.0,1.0,RACV,Unknown,Unknown,0.0,0.45
-37.8163799,144.9547665,1,0.0,0.5,0.5,301.0,1.0,Alto Hotel,Unknown,Unknown,0.0,0.45
-37.8132556,144.9559119,1,0.0,0.5,0.5,301.0,1.0,Unknown,Unknown,Unknown,0.0,0.45
-37.8143461,144.9618065,2,0.0,0.5,0.5,301.0,1.0,Unknown,Unknown,Unknown,0.0,0.45
-37.81826,144.9639555,2,0.0,0.5,0.5,301.0,1.0,Unknown,Unknown,Unknown,0.0,0.45
-37.8162175,144.9707936,1,0.0,0.5,0.5,301.0,1.0,GreenCo,Unknown,Unknown,0.0,0.45
-37.8153856,144.9700374,1,0.0,0.5,0.5,301.0,1.0,Unknown,Unknown,Unknown,0.0,0.45
-37.8144864,144.9730784,1,0.0,0.5,0.5,301.0,1.0,Unknown,Unknown,Unknown,0.0,0.45
-37.8125596,144.9695662,2,0.0,0.5,0.5,301.0,1.0,Secure Parking,Unknown,Unknown,0.0,0.45
-37.813368,144.9681379,1,0.0,0.5,0.5,301.0,1.0,QT,Unknown,Unknown,0.0,0.45
-38.6490505,145.6858267,1,0.0,0.5,0.5,301.0,1.0,Unknown,Unknown,Unknown,0.0,0.45
-37.9430275,145.1184356,1,0.0,0.5,0.5,301.0,1.0,Unknown,Unknown,Unknown,0.0,0.45
-38.0870252,145.279579,2,0.0,0.5,0.5,301.0,1.0,Evie Networks,CHAdeMO,Unknown,0.0,0.45
-28.636313,153.553519,2,0.0,0.5,0.5,103.0,0.34,NRMA,CHAdeMO,Unknown,0.0,0.318
-37.8188089,144.9426093,1,0.0,0.5,0.5,301.0,1.0,Unknown,Unknown,Unknown,0.0,0.45
-35.7175328,147.317755,2,0.0,0.5,0.5,54.0,0.17666666666666667,NRMA,CHAdeMO,Unknown,0.0,0.2853333333333333
-33.7965055,151.1833566,2,0.0,0.5,0.5,222.0,0.7366666666666667,EVLink,Unknown,Unknown,0.0,0.3973333333333333
