Date,Year,Month,Number,Cummulative
1/01/2013,2013,January,0,0
1/02/2013,2013,February,0,0
1/03/2013,2013,March,0,0
1/04/2013,2013,April,0,0
1/05/2013,2013,May,1,1
1/06/2013,2013,June,0,1
1/07/2013,2013,July,0,1
1/08/2013,2013,August,0,1
1/09/2013,2013,September,0,1
1/10/2013,2013,October,0,1
1/11/2013,2013,November,0,1
1/12/2013,2013,December,0,1
1/01/2014,2014,January,0,1
1/02/2014,2014,February,0,1
1/03/2014,2014,March,0,1
1/04/2014,2014,April,0,1
1/05/2014,2014,May,0,1
1/06/2014,2014,June,0,1
1/07/2014,2014,July,0,1
1/08/2014,2014,August,0,1
1/09/2014,2014,September,0,1
1/10/2014,2014,October,0,1
1/11/2014,2014,November,0,1
1/12/2014,2014,December,1,2
1/01/2015,2015,January,0,2
1/02/2015,2015,February,0,2
1/03/2015,2015,March,0,2
1/04/2015,2015,April,0,2
1/05/2015,2015,May,0,2
1/06/2015,2015,June,4,6
1/07/2015,2015,July,0,6
1/08/2015,2015,August,0,6
1/09/2015,2015,September,0,6
1/10/2015,2015,October,0,6
1/11/2015,2015,November,0,6
1/12/2015,2015,December,0,6
1/01/2016,2016,January,1,7
1/02/2016,2016,February,0,7
1/03/2016,2016,March,1,8
1/04/2016,2016,April,0,8
1/05/2016,2016,May,7,15
1/06/2016,2016,June,0,15
1/07/2016,2016,July,0,15
1/08/2016,2016,August,0,15
1/09/2016,2016,September,0,15
1/10/2016,2016,October,0,15
1/11/2016,2016,November,0,15
1/12/2016,2016,December,0,15
1/01/2017,2017,January,7,22
1/02/2017,2017,February,0,22
1/03/2017,2017,March,0,22
1/04/2017,2017,April,0,22
1/05/2017,2017,May,0,22
1/06/2017,2017,June,0,22
1/07/2017,2017,July,1,23
1/08/2017,2017,August,1,24
1/09/2017,2017,September,4,28
1/10/2017,2017,October,1,29
1/11/2017,2017,November,1,30
1/12/2017,2017,December,0,30
1/01/2018,2018,January,1,31
1/02/2018,2018,February,2,33
1/03/2018,2018,March,0,33
1/04/2018,2018,April,0,33
1/05/2018,2018,May,0,33
1/06/2018,2018,June,4,37
1/07/2018,2018,July,0,37
1/08/2018,2018,August,0,37
1/09/2018,2018,September,0,37
1/10/2018,2018,October,1,38
1/11/2018,2018,November,0,38
1/12/2018,2018,December,1,39
1/01/2019,2019,January,4,43
1/02/2019,2019,February,1,44
1/03/2019,2019,March,0,44
1/04/2019,2019,April,2,46
1/05/2019,2019,May,4,50
1/06/2019,2019,June,2,52
1/07/2019,2019,July,2,54
1/08/2019,2019,August,0,54
1/09/2019,2019,September,2,56
1/10/2019,2019,October,1,57
1/11/2019,2019,November,0,57
1/12/2019,2019,December,0,57
1/01/2020,2020,January,2,59
1/02/2020,2020,February,3,62
1/03/2020,2020,March,5,67
1/04/2020,2020,April,2,69
1/05/2020,2020,May,4,73
1/06/2020,2020,June,11,84
1/07/2020,2020,July,5,89
1/08/2020,2020,August,3,92
1/09/2020,2020,September,2,94
1/10/2020,2020,October,6,100
1/11/2020,2020,November,3,103
1/12/2020,2020,December,5,108
1/01/2021,2021,January,6,114
1/02/2021,2021,February,7,121
1/03/2021,2021,March,1,122
1/04/2021,2021,April,1,123
1/05/2021,2021,May,1,124
1/06/2021,2021,June,2,126
1/07/2021,2021,July,1,127
1/08/2021,2021,August,0,127
1/09/2021,2021,September,0,127
1/10/2021,2021,October,1,128
1/11/2021,2021,November,18,146
1/12/2021,2021,December,53,199
1/01/2022,2022,January,17,216
1/02/2022,2022,February,4,220
1/03/2022,2022,March,26,246
1/04/2022,2022,April,2,248
1/05/2022,2022,May,2,250
1/06/2022,2022,June,5,255
1/07/2022,2022,July,3,258
1/08/2022,2022,August,1,259
1/09/2022,2022,September,17,276
1/10/2022,2022,October,1,277
1/11/2022,2022,November,6,283
1/12/2022,2022,December,69,352
1/01/2023,2023,January,0,352
1/02/2023,2023,February,8,360
1/03/2023,2023,March,7,367
1/04/2023,2023,April,5,372
1/05/2023,2023,May,4,376
1/06/2023,2023,June,15,391
1/07/2023,2023,July,127,518
1/08/2023,2023,August,33,551
1/09/2023,2023,September,12,563
1/10/2023,2023,October,9,572
1/11/2023,2023,November,6,578
1/12/2023,2023,December,7,585
1/01/2024,2024,January,1,586
1/02/2024,2024,February,1,587
1/03/2024,2024,March,15,602
1/04/2024,2024,April,1,603
1/05/2024,2024,May,2,605
1/06/2024,2024,June,11,616
1/07/2024,2024,July,6,622
